EntryTime,EntryBar,Direction,EntryPrice,ExitTime,ExitBar,ExitPrice,BarsHeld,RealizedPoints,MFE,MAE,MAE_Pct,MinAbsFastGrad,NearThresholdTouches,ExitReason
2025-11-21 15:25:30,1730,SHORT,24237.00,2025-11-21 15:31:30,1742,24227.50,13,9.50,44.50,0.00,0.0000,1.735800,0,VALIDATION_FAILED:FastGrad>=1.7358(need<-0.25)
2025-11-21 03:23:00,285,LONG,24216.50,2025-11-21 03:28:30,296,24220.00,12,3.50,12.25,4.00,0.0165,0.132100,1,VALIDATION_FAILED:FastGrad<=0.1321(need>0.25)
2025-11-21 09:11:30,982,SHORT,24172.75,2025-11-21 09:17:00,993,24169.00,12,3.75,13.25,0.00,0.0000,0.493700,0,VALIDATION_FAILED:FastGrad>=0.5401(need<-0.25)
2025-11-21 10:44:00,1167,LONG,24151.75,2025-11-21 10:49:30,1178,24171.25,12,19.50,41.25,0.00,0.0000,0.380000,0,VALIDATION_FAILED:FastGrad<=-0.3800(need>0.25)
2025-11-21 14:09:00,1577,SHORT,24024.50,2025-11-21 14:14:30,1588,24006.50,12,18.00,49.50,0.75,0.0031,0.913100,0,VALIDATION_FAILED:FastGrad>=0.9131(need<-0.25)
2025-11-21 17:27:30,1974,SHORT,24122.00,2025-11-21 17:33:00,1985,24077.75,12,44.25,78.50,0.00,0.0000,1.651400,0,VALIDATION_FAILED:FastGrad>=1.6514(need<-0.25)
2025-11-21 03:16:00,271,LONG,24200.00,2025-11-21 03:21:00,281,24202.75,11,2.75,8.50,0.00,0.0000,0.065700,1,VALIDATION_FAILED:FastGrad<=-0.0657(need>0.25)
2025-11-21 03:40:30,320,LONG,24205.50,2025-11-21 03:45:30,330,24215.00,11,9.50,23.25,0.00,0.0000,0.722500,0,VALIDATION_FAILED:FastGrad<=-0.7365(need>0.25)
2025-11-21 08:27:00,893,SHORT,24164.75,2025-11-21 08:32:00,903,24149.00,11,15.75,32.75,0.00,0.0000,0.473400,0,VALIDATION_FAILED:FastGrad>=0.4734(need<-0.25)
2025-11-21 13:19:00,1477,SHORT,24121.50,2025-11-21 13:24:00,1487,24130.25,11,-8.75,10.25,0.75,0.0031,1.760600,0,VALIDATION_FAILED:FastGrad>=1.7606(need<-0.25)
2025-11-21 16:09:30,1818,LONG,24240.75,2025-11-21 16:14:30,1828,24241.75,11,1.00,21.25,0.00,0.0000,1.414100,0,VALIDATION_FAILED:FastGrad<=-1.4141(need>0.25)
2025-11-21 17:11:00,1941,SHORT,24120.00,2025-11-21 17:16:00,1951,24135.25,11,-15.25,25.75,4.50,0.0187,3.125600,0,VALIDATION_FAILED:FastGrad>=3.1256(need<-0.25)
2025-11-21 06:48:30,696,SHORT,24120.25,2025-11-21 06:53:00,705,24117.75,10,2.50,9.75,7.75,0.0321,0.176600,1,VALIDATION_FAILED:FastGrad>=-0.1766(need<-0.25)
2025-11-21 08:22:00,883,LONG,24166.75,2025-11-21 08:26:30,892,24172.75,10,6.00,10.50,0.00,0.0000,0.135900,1,VALIDATION_FAILED:FastGrad<=0.1359(need>0.25)
2025-11-21 08:41:00,921,LONG,24160.75,2025-11-21 08:45:30,930,24169.75,10,9.00,13.75,0.25,0.0010,0.218500,0,VALIDATION_FAILED:FastGrad<=0.2185(need>0.25)
2025-11-21 10:34:00,1147,SHORT,24146.75,2025-11-21 10:38:30,1156,24139.50,10,7.25,25.50,0.00,0.0000,0.660400,0,VALIDATION_FAILED:FastGrad>=0.7762(need<-0.25)
2025-11-21 12:21:00,1361,SHORT,23945.75,2025-11-21 12:25:30,1370,23943.75,10,2.00,16.25,0.00,0.0000,0.464000,0,VALIDATION_FAILED:FastGrad>=1.2427(need<-0.25)
2025-11-21 13:38:30,1516,SHORT,24089.75,2025-11-21 13:43:00,1525,24080.75,10,9.00,25.25,0.00,0.0000,0.226500,0,VALIDATION_FAILED:FastGrad>=-0.2265(need<-0.25)
2025-11-21 14:22:00,1603,SHORT,23990.00,2025-11-21 14:26:30,1612,23975.25,10,14.75,29.50,0.00,0.0000,0.105400,1,VALIDATION_FAILED:FastGrad>=-0.1054(need<-0.25)
2025-11-21 15:02:30,1684,SHORT,24198.00,2025-11-21 15:07:00,1693,24175.75,10,22.25,52.00,0.00,0.0000,0.379800,0,VALIDATION_FAILED:FastGrad>=0.3798(need<-0.25)
2025-11-21 15:36:00,1751,LONG,24241.75,2025-11-21 15:40:30,1760,24250.25,10,8.50,23.50,0.00,0.0000,0.174200,1,VALIDATION_FAILED:FastGrad<=0.1742(need>0.25)
