EntryTime,EntryBar,Direction,EntryPrice,ExitTime,ExitBar,ExitPrice,BarsHeld,RealizedPoints,MFE,MAE,MAE_Pct,MinAbsFastGrad,NearThresholdTouches,ExitReason
2025-11-21 18:48:30,2136,LONG,24220.25,2025-11-21 19:02:30,2164,24335.75,29,115.50,151.75,0.00,0.0000,0.885800,0,VALIDATION_FAILED:FastGrad<=-0.8858(need>0.18)
2025-11-21 07:29:00,777,SHORT,24176.00,2025-11-21 07:42:30,804,24141.75,28,34.25,40.50,3.50,0.0145,0.140000,1,VALIDATION_FAILED:FastGrad>=0.1400(need<-0.18)
2025-11-21 01:14:30,28,LONG,24077.00,2025-11-21 01:27:00,53,24109.00,26,32.00,50.75,5.00,0.0208,1.099800,0,VALIDATION_FAILED:FastGrad<=-1.0998(need>0.18)
2025-11-21 11:35:30,1270,SHORT,24122.50,2025-11-21 11:47:30,1294,24073.75,25,48.75,76.00,0.00,0.0000,0.460900,0,VALIDATION_FAILED:FastGrad>=1.0468(need<-0.18)
2025-11-21 12:31:30,1382,LONG,23945.50,2025-11-21 12:43:30,1406,24048.75,25,103.25,116.50,0.00,0.0000,0.017300,1,VALIDATION_FAILED:FastGrad<=0.0173(need>0.18)
2025-11-21 06:54:30,708,LONG,24129.25,2025-11-21 07:05:30,730,24167.75,23,38.50,68.00,0.00,0.0000,1.461600,0,VALIDATION_FAILED:FastGrad<=-1.7542(need>0.18)
2025-11-21 15:12:30,1704,LONG,24200.50,2025-11-21 15:23:30,1726,24262.00,23,61.50,86.75,0.00,0.0000,0.648900,0,VALIDATION_FAILED:FastGrad<=-0.6489(need>0.18)
2025-11-21 18:21:30,2082,LONG,24064.75,2025-11-21 18:32:30,2104,24156.00,23,91.25,131.50,0.00,0.0000,0.816000,0,VALIDATION_FAILED:FastGrad<=-0.8160(need>0.18)
2025-11-21 20:03:00,2285,SHORT,24342.25,2025-11-21 20:14:00,2307,24260.75,23,81.50,110.00,0.00,0.0000,0.663500,0,VALIDATION_FAILED:FastGrad>=1.0752(need<-0.18)
2025-11-21 20:31:00,2341,LONG,24283.75,2025-11-21 20:42:00,2363,24350.75,23,67.00,85.50,0.00,0.0000,0.508100,0,VALIDATION_FAILED:FastGrad<=-0.7038(need>0.18)
2025-11-21 13:07:30,1454,LONG,24103.25,2025-11-21 13:17:30,1474,24137.75,21,34.50,46.25,0.00,0.0000,0.269900,0,VALIDATION_FAILED:FastGrad<=-0.2699(need>0.18)
2025-11-21 10:02:30,1084,LONG,24099.75,2025-11-21 10:12:00,1103,24155.25,20,55.50,75.75,13.50,0.0560,0.020300,3,VALIDATION_FAILED:FastGrad<=-0.0294(need>0.18)
2025-11-21 10:52:00,1183,LONG,24183.50,2025-11-21 11:01:30,1202,24201.00,20,17.50,28.50,0.00,0.0000,0.820100,0,VALIDATION_FAILED:FastGrad<=-0.8201(need>0.18)
