"barIndex","Time","trendSide","fastGrad","slowGrad","accel","adx","rsi","gradStab","bandwidth","close","fastEMA","slowEMA"
"3683","08:41:31","BEAR","-0.767332255927613","-0.203730293276749","-0.882294979466678","27.0778107001987","47.9880838501423","0.563601962650864","5.98566743903191E-05","25351.25","25354.7029951517","25353.1854377861"
"3684","08:42:00","BEAR","-0.590627217658039","-0.162785458091093","-0.721877710471745","25.2792360664043","48.4618909190768","0.427841759566945","4.38353879585607E-05","25351.5","25354.1578224795","25353.0464618519"
"3685","08:42:30","BULL","0.322544673159427","0.311901592340291","0.227554600525764","24.1608290158105","57.9536524004094","0.0106430808191362","5.96208409380319E-05","25356.75","25355.2985489708","25353.7869348728"
"3686","08:43:00","BULL","0.305222501177923","0.316210284225235","0.595271945883724","23.7251066434692","57.9760771374665","0.0109877830473124","6.43086150025846E-05","25357.25","25355.8764987447","25354.2460022999"
"3688","08:44:00","BEAR","-0.336999813262082","-0.0802623728850449","-0.522999771761533","20.3271952473609","50.0332789677281","0.256737440377037","2.97394367992289E-05","25353.0","25354.5164991597","25353.7624925424"
"3689","08:44:30","BEAR","-0.238537037294009","-0.051076387258945","-0.291545267809852","19.2142984737218","50.4720774777602","0.187460650035064","2.31993820098696E-05","25353.25","25354.3234166678","25353.735225679"
"3691","08:45:30","BULL","0.383518782695319","0.328883479989599","0.635411845516501","20.361995763598","57.3270343423125","0.0546353027057194","5.51588092859328E-05","25358.25","25356.5241654779","25355.1256069401"
"3692","08:46:00","BULL","0.470812888321234","0.385996617951605","0.519882419059286","20.8001983385226","59.1825555107781","0.0848162703696289","6.10638639670874E-05","25359.25","25357.1313420025","25355.5830321295"
"3693","08:46:30","BULL","0.64554112350379","0.50002868608135","0.788994706501398","21.1083746853156","61.6443287377383","0.14551243742244","7.27764350742471E-05","25361.0","25358.0950649442","25356.2497274822"
"3694","08:47:00","BULL","0.887674142370088","0.653087178565329","0.918268396231724","22.5051526404073","64.6703123285816","0.234586963804759","8.7147161553987E-05","25363.25","25359.2554663593","25357.0456718036"
"3695","08:47:30","BULL","1.2923945462353","0.916285225051979","1.52403777873405","24.235727343143","68.9755800233483","0.376109321183321","0.000113924620990026","25367.0","25361.1842245419","25358.295290362"
"3696","08:48:00","BULL","0.834273223779746","0.699768264843442","1.019667273511","25.5341658849502","65.813711949324","0.134504958936304","0.000114104888738184","25365.5","25361.745770493","25358.852201484"
"3697","08:48:30","BULL","0.496636769872566","0.525413917624974","0.607000496504043","26.0311738952053","62.9620233271466","0.0287771477524075","0.000108700605170762","25364.25","25362.0151345356","25359.2585677826"
"3699","08:49:35","BULL","0.25469824339234","0.355216813466541","0.311297853033466","23.4753782968344","58.7498508549667","0.1005185700742","8.78726556077227E-05","25363.0","25361.8538579047","25359.6254402721"
"3700","08:50:00","BULL","0.237315091701021","0.340661017169623","0.345607334300439","22.9779667118711","58.9108109326699","0.103345925468602","8.55031773400086E-05","25363.25","25362.1820820873","25360.0137203369"
"3701","08:50:30","BULL","0.900778463455936","0.717514162930456","1.10095145533705","24.601627187783","65.1519450730085","0.183264300525479","0.00010894134533104","25368.0","25363.9464969144","25361.1836154522"
"3702","08:51:00","BULL","0.476669982497697","0.498385829949257","0.582596645275771","25.2062149964119","61.5267886624689","0.02171584745156","0.000102109453205916","25366.25","25364.1049850787","25361.5153346155"
"3703","08:51:33","BULL","0.555291969150858","0.541623460660048","0.567579073405795","25.7189626922955","62.8478423136061","0.0136685084908095","0.000104352894178","25367.25","25364.7511861388","25362.1045771237"
"3704","08:52:00","BULL","0.45432979294128","0.49004027392948","0.555291969150858","26.1950855527588","62.8478423136061","0.0357104809882003","0.000102942879995755","25367.25","25365.2055159317","25362.5946173977"
"3705","08:52:34","BULL","0.351063219015487","0.426362968930334","0.317966156577313","26.1610422021934","61.8564177735843","0.0752997499148478","9.74123184760755E-05","25367.0","25365.4202155144","25362.9495517952"
"3707","08:53:30","BULL","0.617052838577365","0.557257063759607","0.754175691592536","25.7900854116529","64.0855520203738","0.0597957748177578","9.92433643371625E-05","25369.25","25366.4732622264","25363.9560578943"
"3708","08:54:02","BULL","0.930481248091382","0.745681561085803","1.02614374766927","27.7812761169727","67.5317557820582","0.184799687005579","0.000114205354002582","25372.0","25367.8128343836","25364.9160251697"
"3709","08:54:30","BULL","0.967914409597142","0.799380822842068","1.29411761172742","28.7458807758073","68.4995992528376","0.168533586755075","0.000127671489000085","25373.5","25369.1443851568","25365.905882183"
"3710","08:55:00","BULL","0.969615921898367","0.828691492773942","1.24064168232508","30.3835690142847","70.1781966244301","0.140924429124425","0.00013834172307485","25374.75","25370.3867283514","25366.8774308186"
"3711","08:55:30","BULL","1.80985104353749","1.34614037555002","2.37870683099027","33.5328988922317","75.5693225399537","0.463710667987471","0.000183058492217802","25381.75","25373.6056703041","25368.9616664323"
"3712","08:56:00","BULL","1.82376242405371","1.41408165497705","2.17348740717352","36.182225533902","78.45063957598","0.409680769076658","0.000206020029975611","25384.0","25375.7930690918","25370.5662242777"
"3713","08:56:30","BULL","1.4921692560456","1.27940721164487","1.82376242405371","38.3143732104702","78.45063957598","0.212762044400733","0.000214395394699765","25384.0","25377.2852383478","25371.8456314894"
"3714","08:57:00","BULL","0.886155011143273","0.963681354751316","1.0830783469537","40.4711527859254","72.6285278075319","0.0775263436080422","0.000203655767748069","25381.75","25377.7623024498","25372.5950271298"
"3715","08:57:30","BULL","0.204374761182407","0.570314876524208","0.249791374779306","39.33538828623","64.5975190717656","0.3659401153418","0.00017728824673965","25378.25","25377.3303135747","25372.832008673"
"3716","08:58:00","BEAR","-0.196420649939682","0.302847246559395","-0.295625238817593","37.7025633239774","59.4105894930833","0.499267896499077","0.000148226878930209","25375.75","25376.6338929247","25372.8729511577"
"3717","08:58:30","BEAR","-0.123517721855023","0.295546601762908","-0.150966104483814","35.6615836456746","59.7449823725251","0.419064323617931","0.000132562053065199","25376.0","25376.5558297483","25373.1923072833"
"3718","08:59:00","BEAR","-0.696101276556874","-0.0772718954540323","-0.850790449127089","33.781105275658","52.3181844430473","0.618829381102842","9.45255930955063E-05","25372.0","25375.1324557445","25372.7340830068"
"3719","08:59:30","BEAR","-0.838132449414843","-0.22297389180676","-0.96882854928117","31.1588360247939","49.3934991593571","0.615158557608083","6.51631741175204E-05","25370.25","25374.0215960224","25372.3682519722"
"3720","09:00:00","BEAR","-0.789050516465068","-0.264096559709287","-1.01995063123468","28.6678535695602","48.2267789091304","0.52495395675578","4.10613921125944E-05","25369.5","25373.0507273241","25372.0089173172"
"3721","09:00:30","BULL","0.395735527854413","0.364230096769461","0.483676756262867","29.3029809490868","58.4448986700778","0.0315054310849519","6.6187420044755E-05","25376.5","25374.7191901247","25373.0398140807"
"3722","09:01:00","BULL","0.509734026920341","0.437251266695966","0.623008255126479","29.1467341381527","59.9644260104521","0.0724827602243749","7.33078553056666E-05","25377.75","25375.4561968789","25373.5961129664"
"3723","09:01:30","BULL","0.855071641861286","0.651844116579014","1.10064311782844","30.5357493421308","63.1965798986811","0.203227525282273","9.24034525869778E-05","25380.75","25376.9021776116","25374.5574808925"
"3724","09:02:00","BULL","0.468199111935974","0.458244450146594","0.627798914589221","30.409286311406","60.394366468526","0.00995466178937932","8.85294746693549E-05","25379.25","25377.1431039963","25374.8966777236"
"3725","09:02:30","BULL","0.850014149433264","0.690112325642986","1.15001729375217","31.667496035554","63.79848461941","0.159901823790278","0.000107621747129892","25382.5","25378.6749363275","25375.9439329064"
"3726","09:03:00","BULL","0.567366948711424","0.555226344513358","0.804559603981033","32.3023950593657","62.3123854399693","0.0121406041980663","0.000107244956842184","25381.75","25379.1968487308","25376.4753497271"
"3727","09:03:32","BULL","0.212143205972097","0.353821567943669","0.203730585075391","32.7357944351744","58.915433737871","0.141678361971572","9.48376377767457E-05","25380.0","25379.0453555731","25376.6386951046"
"3728","09:04:01","BULL","0.330596507363225","0.408559649906238","0.348506842332426","32.5686005562354","60.2113685309905","0.0779631425430125","9.4322465084273E-05","25381.0","25379.5123157169","25377.1186833259"
"3729","09:04:30","BULL","0.791149208504066","0.671236508642323","0.966960143727192","33.8596724582835","64.3678570674669","0.119912699861743","0.000110984384690048","25384.5","25380.9398285617","25378.1232531679"
"3730","09:05:00","BULL","0.50680803009891","0.523408995348291","0.563876481232001","34.5116318949657","62.19605902594","0.0166009652493813","0.000106064046001742","25383.5","25381.2193638645","25378.5276145442"
"3732","09:06:02","BEAR","-0.288830988116388","0.0542018781707156","-0.130793429918413","34.0732480808631","53.8723782653704","0.343032866287103","7.15037671975827E-05","25379.0","25380.2997394465","25378.4850821574"
"3733","09:06:30","BEAR","-0.595820395232295","-0.151640477575711","-0.561558260844322","32.2691835278732","49.9958145798826","0.444179917656584","4.88847791366324E-05","25376.75","25379.4311917786","25378.1905845369"
"3734","09:07:00","BULL","0.0910229824112321","0.202937527094036","0.22236142294787","32.2461120579661","55.9413690154778","0.111914544682804","5.98255932030294E-05","25380.75","25380.3403965791","25378.8220934926"
"3735","09:07:30","BULL","0.334803927758912","0.33440379435342","0.409204800591397","32.7652837738007","58.5620620107432","0.000400133405491943","6.58102015041512E-05","25382.5","25380.9933823251","25379.3231639536"
