Timestamp,Bar,Direction,FastGradient,FastEMA,SlowEMA,Close,MaxFavorableMove,BarsToPeak,BlockedReason,Status
2025-11-21 20:56:30,2392,LONG,1.7780,24497.25,24480.06,24505.25,0.00,0,"GradStab>1.46(3.985)|ATR>13.57(25.54) ADX:35.1 ATR:25.54 RSI:61.4 GradStab:3.985 BW:0.0007 Accel:+4.489,0,2392",MISSED_FLAT
2025-11-21 20:59:30,2398,LONG,1.6256,24482.68,24477.77,24490.00,0.00,0,"GradStab>1.46(2.507)|ATR>13.57(25.86) ADX:24.8 ATR:25.86 RSI:55.3 GradStab:2.507 BW:0.0002 Accel:+5.785,0,2398",MISSED_FLAT
2025-11-21 21:01:00,2401,LONG,1.0962,24483.82,24479.58,24488.75,0.00,0,"GradStab>1.46(2.582)|ATR>13.57(25.32) ADX:21.8 ATR:25.32 RSI:54.7 GradStab:2.582 BW:0.0002 Accel:+1.832,0,2401",MISSED_FLAT
2025-11-21 21:03:00,2405,LONG,0.5341,24485.35,24481.94,24487.75,0.00,0,"GradStab>1.46(1.864)|ATR>13.57(23.55) ADX:19.7 ATR:23.55 RSI:53.8 GradStab:1.864 BW:0.0001 Accel:+0.720,0,2405",MISSED_FLAT
2025-11-21 21:15:00,2429,LONG,0.5029,24535.99,24532.04,24538.25,0.00,0,"ADX<18(17.5)|GradStab>1.46(1.464)|ATR>13.57(18.16) ADX:17.5 ATR:18.16 RSI:55.7 GradStab:1.464 BW:0.0002 Accel:+2.605,0,2429",MISSED_FLAT
2025-11-21 21:19:30,2438,LONG,1.7906,24539.94,24536.26,24548.00,0.00,0,"ADX<18(12.2)|ATR>13.57(16.68) ADX:12.2 ATR:16.68 RSI:58.0 GradStab:1.108 BW:0.0001 Accel:+2.319,0,2438",MISSED_FLAT
2025-11-21 21:31:00,2461,LONG,1.7603,24584.83,24579.10,24592.75,0.00,0,"ADX<18(11.9) ADX:11.9 ATR:13.46 RSI:60.9 GradStab:1.003 BW:0.0002 Accel:+1.821,0,2461",MISSED_FLAT
2025-11-21 22:05:00,2529,SHORT,-2.0851,24460.38,24463.80,24451.00,0.00,0,"ATR>13.57(15.05)|RSI<50.0(38.7) ADX:21.8 ATR:15.05 RSI:38.7 GradStab:0.992 BW:0.0001 Accel:-2.102,0,2529",MISSED_FLAT
2025-11-21 22:07:30,2534,SHORT,-1.4583,24455.31,24459.45,24448.75,0.00,0,"ATR>13.57(15.24)|RSI<50.0(41.8) ADX:18.9 ATR:15.24 RSI:41.8 GradStab:1.143 BW:0.0002 Accel:-1.888,0,2534",MISSED_FLAT
2025-11-21 22:09:00,2537,SHORT,-1.0225,24455.60,24458.74,24451.00,0.00,0,"ADX<18(16.4)|ATR>13.57(14.81)|RSI<50.0(43.9) ADX:16.4 ATR:14.81 RSI:43.9 GradStab:1.058 BW:0.0001 Accel:-2.101,0,2537",MISSED_FLAT
2025-11-21 22:15:30,2550,LONG,1.0051,24472.98,24469.86,24477.50,7.50,4,"ADX<18(10.5)|ATR>13.57(14.57) ADX:10.5 ATR:14.57 RSI:54.3 GradStab:1.158 BW:0.0001 Accel:+1.913,0,2550",MISSED_FLAT
2025-11-21 22:17:30,2554,LONG,2.0127,24475.94,24472.37,24485.00,0.00,0,"ADX<18(10.0)|ATR>13.57(14.33) ADX:10.0 ATR:14.33 RSI:57.1 GradStab:1.183 BW:0.0001 Accel:+2.310,0,2554",MISSED_FLAT
2025-11-21 22:39:00,2597,LONG,0.5722,24416.17,24413.48,24418.75,0.00,0,"GradStab>1.46(2.608)|ATR>13.57(17.13) ADX:31.5 ATR:17.13 RSI:51.2 GradStab:2.608 BW:0.0001 Accel:+0.600,0,2597",MISSED_FLAT
2025-11-21 22:49:30,2610,LONG,1.4593,24419.43,24416.46,24426.00,0.00,0,"ADX<18(17.7)|GradStab>1.46(1.971)|ATR>13.57(17.13) ADX:17.7 ATR:17.13 RSI:53.6 GradStab:1.971 BW:0.0001 Accel:+2.635,0,2610",MISSED_FLAT
2025-11-21 23:06:30,2611,SHORT,-14.0953,24404.43,24408.84,24341.00,0.00,0,"GradStab>1.46(4.762)|ATR>13.57(22.44)|RSI<50.0(32.4) ADX:19.5 ATR:22.44 RSI:32.4 GradStab:4.762 BW:0.0002 Accel:-15.555,0,2611",MISSED_FLAT
2025-11-21 23:15:00,2628,SHORT,-0.8432,24319.04,24333.36,24315.25,0.00,0,"GradStab>1.46(1.832)|ATR>13.57(13.57)|RSI<50.0(37.0) ADX:32.8 ATR:13.57 RSI:37.0 GradStab:1.832 BW:0.0006 Accel:-1.601,0,2628",MISSED_FLAT
2025-11-21 23:22:00,2642,SHORT,-1.2018,24320.91,24324.90,24315.50,0.00,0,"RSI<50.0(38.7) ADX:24.6 ATR:9.19 RSI:38.7 GradStab:0.442 BW:0.0002 Accel:-1.526,0,2642",MISSED_FLAT
2025-11-21 23:23:30,2645,SHORT,-1.0668,24319.55,24323.22,24314.75,0.00,0,"RSI<50.0(39.9) ADX:25.6 ATR:8.88 RSI:39.9 GradStab:0.527 BW:0.0002 Accel:-1.243,0,2645",MISSED_FLAT
