ts_local,event_type,bar_index,signal_type,action_reason,notes
2025-11-19 06:51:30.000,LOGGED,702,BEAR,Written to signals CSV,"price=24538.50,netflow=1.56"
2025-11-19 06:51:30.000,PLOT,702,BULL,Triangle drawn on chart,netflow=1.74
2025-11-19 06:52:00.000,LOGGED,703,BULL,Written to signals CSV,"price=24541.50,netflow=1.74"
2025-11-19 06:57:30.000,PLOT,714,BEAR,Triangle drawn on chart,netflow=-3.00
2025-11-19 06:58:00.000,LOGGED,715,BEAR,Written to signals CSV,"price=24527.50,netflow=-3.00"
2025-11-19 07:02:00.000,PLOT,723,BULL,Triangle drawn on chart,netflow=-3.00
2025-11-19 07:02:30.000,LOGGED,724,BULL,Written to signals CSV,"price=24533.25,netflow=-3.00"
2025-11-19 07:02:30.000,PLOT,724,BEAR,Triangle drawn on chart,netflow=-1.00
2025-11-19 07:03:00.000,LOGGED,725,BEAR,Written to signals CSV,"price=24534.50,netflow=-1.00"
2025-11-19 07:03:00.000,PLOT,725,BULL,Triangle drawn on chart,netflow=-1.00
2025-11-19 07:03:30.000,LOGGED,726,BULL,Written to signals CSV,"price=24534.75,netflow=-1.00"
2025-11-19 07:04:00.000,PLOT,727,BEAR,Triangle drawn on chart,netflow=-0.50
2025-11-19 07:04:30.000,LOGGED,728,BEAR,Written to signals CSV,"price=24535.00,netflow=-0.50"
2025-11-19 07:04:30.000,PLOT,728,BULL,Triangle drawn on chart,netflow=0.74
2025-11-19 07:05:00.000,LOGGED,729,BULL,Written to signals CSV,"price=24539.75,netflow=0.74"
2025-11-19 07:09:00.000,PLOT,737,BEAR,Triangle drawn on chart,netflow=-4.00
2025-11-19 07:09:30.000,LOGGED,738,BEAR,Written to signals CSV,"price=24530.00,netflow=-4.00"
2025-11-19 07:10:00.000,PLOT,739,BULL,Triangle drawn on chart,netflow=0.59
2025-11-19 07:10:30.000,LOGGED,740,BULL,Written to signals CSV,"price=24540.50,netflow=0.59"
2025-11-19 07:11:30.000,PLOT,742,BEAR,Triangle drawn on chart,netflow=-2.00
2025-11-19 07:12:00.000,LOGGED,743,BEAR,Written to signals CSV,"price=24535.00,netflow=-2.00"
2025-11-19 07:21:00.000,PLOT,761,BULL,Triangle drawn on chart,netflow=-1.50
2025-11-19 07:21:30.000,LOGGED,762,BULL,Written to signals CSV,"price=24530.75,netflow=-1.50"
2025-11-19 07:27:00.000,PLOT,773,BEAR,Triangle drawn on chart,netflow=-1.00
2025-11-19 07:27:30.000,LOGGED,774,BEAR,Written to signals CSV,"price=24520.50,netflow=-1.00"
2025-11-19 07:51:30.000,PLOT,822,BULL,Triangle drawn on chart,netflow=3.96
2025-11-19 07:52:00.000,LOGGED,823,BULL,Written to signals CSV,"price=24510.00,netflow=3.96"
2025-11-19 08:08:00.000,PLOT,855,BEAR,Triangle drawn on chart,netflow=-0.50
2025-11-19 08:08:30.000,LOGGED,856,BEAR,Written to signals CSV,"price=24527.25,netflow=-0.50"
2025-11-19 08:08:30.000,PLOT,856,BULL,Triangle drawn on chart,netflow=0.50
2025-11-19 08:09:00.000,LOGGED,857,BULL,Written to signals CSV,"price=24529.75,netflow=0.50"
2025-11-19 08:11:30.000,PLOT,862,BEAR,Triangle drawn on chart,netflow=-0.50
2025-11-19 08:12:00.000,LOGGED,863,BEAR,Written to signals CSV,"price=24529.50,netflow=-0.50"
2025-11-19 08:12:00.000,PLOT,863,BULL,Triangle drawn on chart,netflow=1.73
2025-11-19 08:12:30.000,LOGGED,864,BULL,Written to signals CSV,"price=24534.50,netflow=1.73"
2025-11-19 08:27:00.000,PLOT,893,BEAR,Triangle drawn on chart,netflow=0.50
2025-11-19 08:27:30.000,LOGGED,894,BEAR,Written to signals CSV,"price=24537.00,netflow=0.50"
2025-11-19 08:30:30.000,PLOT,900,BULL,Triangle drawn on chart,netflow=1.00
2025-11-19 08:31:00.000,LOGGED,901,BULL,Written to signals CSV,"price=24548.75,netflow=1.00"
2025-11-19 08:46:30.000,PLOT,932,BEAR,Triangle drawn on chart,netflow=-3.00
2025-11-19 08:47:00.000,LOGGED,933,BEAR,Written to signals CSV,"price=24542.25,netflow=-3.00"
2025-11-19 08:53:00.000,PLOT,945,BULL,Triangle drawn on chart,netflow=0.50
2025-11-19 08:53:30.000,LOGGED,946,BULL,Written to signals CSV,"price=24549.25,netflow=0.50"
2025-11-19 08:53:30.000,PLOT,946,BEAR,Triangle drawn on chart,netflow=-0.50
2025-11-19 08:54:00.000,LOGGED,947,BEAR,Written to signals CSV,"price=24545.75,netflow=-0.50"
2025-11-19 08:54:30.000,PLOT,948,BULL,Triangle drawn on chart,netflow=2.10
2025-11-19 08:55:00.000,LOGGED,949,BULL,Written to signals CSV,"price=24555.50,netflow=2.10"
2025-11-19 09:02:30.000,PLOT,964,BEAR,Triangle drawn on chart,netflow=-3.00
2025-11-19 09:03:00.000,LOGGED,965,BEAR,Written to signals CSV,"price=24536.00,netflow=-3.00"
2025-11-19 09:03:00.000,PLOT,965,BULL,Triangle drawn on chart,netflow=-1.00
2025-11-19 09:03:30.000,LOGGED,966,BULL,Written to signals CSV,"price=24552.75,netflow=-1.00"
2025-11-19 09:23:30.000,PLOT,1006,BEAR,Triangle drawn on chart,netflow=0.00
2025-11-19 09:24:00.000,LOGGED,1007,BEAR,Written to signals CSV,"price=24598.75,netflow=0.00"
2025-11-19 09:24:30.000,PLOT,1008,BULL,Triangle drawn on chart,netflow=0.00
2025-11-19 09:25:00.000,LOGGED,1009,BULL,Written to signals CSV,"price=24599.75,netflow=0.00"
2025-11-19 09:28:00.000,PLOT,1015,BEAR,Triangle drawn on chart,netflow=3.06
2025-11-19 09:28:30.000,LOGGED,1016,BEAR,Written to signals CSV,"price=24602.00,netflow=3.06"
2025-11-19 09:28:30.000,PLOT,1016,BULL,Triangle drawn on chart,netflow=0.50
2025-11-19 09:29:00.000,LOGGED,1017,BULL,Written to signals CSV,"price=24599.00,netflow=0.50"
2025-11-19 09:29:30.000,PLOT,1018,BEAR,Triangle drawn on chart,netflow=-1.00
2025-11-19 09:30:00.000,LOGGED,1019,BEAR,Written to signals CSV,"price=24598.00,netflow=-1.00"
