timestamp,event,CurrentBar,EnableLogging,LogDrawnSignals,LogFolder,logInitialized,signalDrawInitialized,State,Instrument,AdditionalInfo
2025-11-18 01:23:43.065,FlushCachedBar_Called,15,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=14; CurrentBar=15}
2025-11-18 01:23:43.125,FlushCachedBar_Logging,15,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=14}
2025-11-18 01:23:43.972,FlushCachedBar_Called,16,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=15; CurrentBar=16}
2025-11-18 01:23:44.025,FlushCachedBar_Logging,16,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=15}
2025-11-18 01:23:44.652,FlushCachedBar_Called,17,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=16; CurrentBar=17}
2025-11-18 01:23:44.699,FlushCachedBar_Logging,17,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=16}
2025-11-18 01:23:45.362,FlushCachedBar_Called,18,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=17; CurrentBar=18}
2025-11-18 01:23:45.448,FlushCachedBar_Logging,18,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=17}
2025-11-18 01:23:46.359,FlushCachedBar_Called,19,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=18; CurrentBar=19}
2025-11-18 01:23:46.430,FlushCachedBar_Logging,19,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=18}
2025-11-18 01:23:47.355,FlushCachedBar_Called,20,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=19; CurrentBar=20}
2025-11-18 01:23:47.472,FlushCachedBar_Logging,20,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=19}
2025-11-18 01:23:48.442,FlushCachedBar_Called,21,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=20; CurrentBar=21}
2025-11-18 01:23:48.502,FlushCachedBar_Logging,21,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=20}
2025-11-18 01:23:49.221,FlushCachedBar_Called,22,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=21; CurrentBar=22}
2025-11-18 01:23:49.298,FlushCachedBar_Logging,22,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=21}
2025-11-18 01:23:50.654,FlushCachedBar_Called,23,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=22; CurrentBar=23}
2025-11-18 01:23:50.677,FlushCachedBar_Logging,23,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=22}
2025-11-18 01:23:51.459,FlushCachedBar_Called,24,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=23; CurrentBar=24}
2025-11-18 01:23:51.536,FlushCachedBar_Logging,24,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=23}
2025-11-18 01:23:52.507,FlushCachedBar_Called,25,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=24; CurrentBar=25}
2025-11-18 01:23:52.550,FlushCachedBar_Logging,25,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=24}
2025-11-18 01:23:53.217,FlushCachedBar_Called,26,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=25; CurrentBar=26}
2025-11-18 01:23:53.259,FlushCachedBar_Logging,26,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=25}
2025-11-18 01:23:54.102,FlushCachedBar_Called,27,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=26; CurrentBar=27}
2025-11-18 01:23:54.149,FlushCachedBar_Logging,27,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=26}
2025-11-18 01:23:54.745,FlushCachedBar_Called,28,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=27; CurrentBar=28}
2025-11-18 01:23:54.783,FlushCachedBar_Logging,28,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=27}
2025-11-18 01:23:55.404,FlushCachedBar_Called,29,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=28; CurrentBar=29}
2025-11-18 01:23:55.441,FlushCachedBar_Logging,29,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=28}
2025-11-18 01:23:56.049,FlushCachedBar_Called,30,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=29; CurrentBar=30}
2025-11-18 01:23:56.102,FlushCachedBar_Logging,30,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=29}
2025-11-18 01:23:56.799,FlushCachedBar_Called,31,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=30; CurrentBar=31}
2025-11-18 01:23:56.838,FlushCachedBar_Logging,31,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=30}
