ts_local,bar_time_utc,bar_index,open,high,low,close,vpm,attract,objection,netflow,ema_color,momentum,supertrend,upper_band,lower_band,bull_cross,bear_cross,bull_cross_raw,bear_cross_raw,bull_reason,bear_reason,realtime_state,realtime_reason,regime,atr30,ema10,ema20,energy_ema_first,range_max,range_min,range_mid,range_os,range_count,score_bull,score_bear,adx,atr_ratio,ema_spread,price_to_band,momentum_ext,curvature_ratio,range_break,exit_long,exit_short
2025-11-18 01:00:30.000,2025-11-18T07:00:30.0000000Z,0,24904.75,24913,24897.25,24903,2,,,,,,,,,0,0,0,0,,,FLAT,,FLAT,8.125,24902.909090909088,24902.952380952382,24910.900000000001,,,,0,,,0,0,,,,0,,0,0,0,0
2025-11-18 01:01:00.000,2025-11-18T07:01:00.0000000Z,1,24902.5,24915,24902.5,24914.25,2,,,,,,,,,0,0,0,0,,,FLAT,,FLAT,9.6666666666666661,24906.582644628095,24904.969387755104,24913.420000000002,,,,0,,,0,0,,,,0,,0,0,0,0
2025-11-18 01:01:30.000,2025-11-18T07:01:30.0000000Z,2,24913.5,24930,24911.75,24929.75,2,,,,,,,,,0,0,0,0,,,FLAT,,FLAT,11.625,24913.212246431249,24908.729672821511,24919.326000000005,,,,0,,,0,0,,,,0,,0,0,0,0
2025-11-18 01:02:00.000,2025-11-18T07:02:00.0000000Z,3,24929.75,24933.25,24921.5,24931.25,2,,,,,,,,,0,0,0,0,,,FLAT,,FLAT,11.699999999999999,24916.669523939618,24910.979908063004,24922.220800000006,,,,0,,,0,0,,,,0,,0,0,0,0
2025-11-18 01:02:30.000,2025-11-18T07:02:30.0000000Z,4,24931,24932.5,24908.75,24908.75,2,,,,,,,,,0,0,0,0,,,FLAT,,FLAT,13.666666666666666,24911.919693140677,24908.850302306433,24919.766640000005,,,,0,,,0,0,,,,0,,0,0,0,0
2025-11-18 01:03:00.000,2025-11-18T07:03:00.0000000Z,5,24908.75,24923,24908.25,24912.5,2,,,,,,,,,0,0,0,0,,,FLAT,,FLAT,14,24912.810327445677,24909.640069433714,24920.843312000008,,,,0,,,0,0,,,,0,,0,0,0,0
2025-11-18 01:03:30.000,2025-11-18T07:03:30.0000000Z,6,24913.75,24918,24912.75,24916.75,2,,,,,,,,,0,0,0,0,,,FLAT,,FLAT,12.8125,24913.927457992741,24910.551899555674,24920.654649600008,,,,0,,,0,0,,,,0,,0,0,0,0
2025-11-18 01:04:00.000,2025-11-18T07:04:00.0000000Z,7,24916.5,24932.25,24916.25,24932.25,2,,,,,,,,,0,0,0,0,,,FLAT,,FLAT,13.166666666666666,24919.64725901885,24913.999337693229,24925.543719680009,,,,0,,,0,0,,,,0,,0,0,0,0
2025-11-18 01:04:30.000,2025-11-18T07:04:30.0000000Z,8,24932.5,24940.75,24930.25,24938.75,2,,,,,,,,,0,0,0,0,,,FLAT,,FLAT,12.925000000000001,24924.141145808815,24916.942711427662,24929.604975744012,,,,0,,,0,0,,,,0,,0,0,0,0
2025-11-18 01:05:00.000,2025-11-18T07:05:00.0000000Z,9,24939.25,24942,24932.5,24940.5,2,,,,,,,,,0,0,0,0,,,FLAT,,FLAT,12.681818181818182,24927.074160620436,24919.174924851784,24931.973980595212,,,,0,,,0,0,,,,0,,0,0,0,0
