ts_local,event_type,bar_index,signal_type,action_reason,notes
2025-11-14 01:05:30.000,PLOT,10,BULL,Triangle drawn on chart,netflow=3.32
2025-11-14 01:06:00.000,LOGGED,11,BULL,Written to signals CSV,"price=25133.75,netflow=3.32"
2025-11-14 01:38:30.000,PLOT,76,BEAR,Triangle drawn on chart,netflow=-4.00
2025-11-14 01:39:00.000,LOGGED,77,BEAR,Written to signals CSV,"price=25131.00,netflow=-4.00"
2025-11-14 02:12:30.000,PLOT,144,BULL,Triangle drawn on chart,netflow=3.51
2025-11-14 02:13:00.000,LOGGED,145,BULL,Written to signals CSV,"price=25119.75,netflow=3.51"
2025-11-14 02:51:30.000,PLOT,222,BEAR,Triangle drawn on chart,netflow=-4.00
2025-11-14 02:52:00.000,LOGGED,223,BEAR,Written to signals CSV,"price=25114.25,netflow=-4.00"
2025-11-14 03:02:00.000,PLOT,243,BULL,Triangle drawn on chart,netflow=2.00
2025-11-14 03:02:30.000,LOGGED,244,BULL,Written to signals CSV,"price=25118.00,netflow=2.00"
2025-11-14 05:32:00.000,PLOT,543,BEAR,Triangle drawn on chart,netflow=-4.00
2025-11-14 05:32:30.000,LOGGED,544,BEAR,Written to signals CSV,"price=25129.50,netflow=-4.00"
2025-11-14 06:01:00.000,PLOT,601,BULL,Triangle drawn on chart,netflow=1.79
2025-11-14 06:01:30.000,LOGGED,602,BULL,Written to signals CSV,"price=25117.25,netflow=1.79"
2025-11-14 06:02:00.000,PLOT,603,BEAR,Triangle drawn on chart,netflow=-2.50
2025-11-14 06:02:30.000,LOGGED,604,BEAR,Written to signals CSV,"price=25105.75,netflow=-2.50"
2025-11-14 06:35:00.000,PLOT,669,BULL,Triangle drawn on chart,netflow=3.04
2025-11-14 06:35:30.000,LOGGED,670,BULL,Written to signals CSV,"price=25067.25,netflow=3.04"
2025-11-14 06:54:00.000,PLOT,707,BEAR,Triangle drawn on chart,netflow=-4.00
2025-11-14 06:54:30.000,LOGGED,708,BEAR,Written to signals CSV,"price=25051.50,netflow=-4.00"
2025-11-14 07:22:30.000,PLOT,764,BULL,Triangle drawn on chart,netflow=1.47
2025-11-14 07:23:00.000,LOGGED,765,BULL,Written to signals CSV,"price=25037.50,netflow=1.47"
2025-11-14 08:09:00.000,PLOT,857,BEAR,Triangle drawn on chart,netflow=-4.00
