ts_local,event_type,bar_index,signal_type,action_reason,notes
2025-11-18 01:06:00.000,PLOT,11,BULL,Triangle drawn on chart,netflow=3.50
2025-11-18 01:06:30.000,LOGGED,12,BULL,Written to signals CSV,"price=24949.25,netflow=3.50"
2025-11-18 01:11:30.000,PLOT,22,BEAR,Triangle drawn on chart,netflow=-1.50
2025-11-18 01:12:00.000,LOGGED,23,BEAR,Written to signals CSV,"price=24915.25,netflow=-1.50"
2025-11-18 01:25:00.000,PLOT,49,BULL,Triangle drawn on chart,netflow=1.13
2025-11-18 01:25:30.000,LOGGED,50,BULL,Written to signals CSV,"price=24910.50,netflow=1.13"
2025-11-18 01:31:00.000,PLOT,61,BEAR,Triangle drawn on chart,netflow=1.31
2025-11-18 01:31:30.000,LOGGED,62,BEAR,Written to signals CSV,"price=24918.50,netflow=1.31"
2025-11-18 01:31:30.000,PLOT,62,BULL,Triangle drawn on chart,netflow=0.21
2025-11-18 01:32:00.000,LOGGED,63,BULL,Written to signals CSV,"price=24918.50,netflow=0.21"
2025-11-18 01:32:00.000,PLOT,63,BEAR,Triangle drawn on chart,netflow=0.11
2025-11-18 01:32:30.000,LOGGED,64,BEAR,Written to signals CSV,"price=24918.75,netflow=0.11"
2025-11-18 01:34:00.000,PLOT,67,BULL,Triangle drawn on chart,netflow=0.87
2025-11-18 01:34:30.000,LOGGED,68,BULL,Written to signals CSV,"price=24922.50,netflow=0.87"
2025-11-18 01:35:00.000,PLOT,69,BEAR,Triangle drawn on chart,netflow=-0.72
2025-11-18 01:35:30.000,LOGGED,70,BEAR,Written to signals CSV,"price=24920.50,netflow=-0.72"
2025-11-18 01:36:00.000,PLOT,71,BULL,Triangle drawn on chart,netflow=3.93
2025-11-18 01:36:30.000,LOGGED,72,BULL,Written to signals CSV,"price=24923.75,netflow=3.93"
2025-11-18 01:36:30.000,PLOT,72,BEAR,Triangle drawn on chart,netflow=1.20
2025-11-18 01:37:00.000,LOGGED,73,BEAR,Written to signals CSV,"price=24919.75,netflow=1.20"
2025-11-18 01:37:00.000,PLOT,73,BULL,Triangle drawn on chart,netflow=2.92
2025-11-18 01:37:30.000,LOGGED,74,BULL,Written to signals CSV,"price=24925.25,netflow=2.92"
2025-11-18 01:45:30.000,PLOT,90,BEAR,Triangle drawn on chart,netflow=-0.50
2025-11-18 01:46:00.000,LOGGED,91,BEAR,Written to signals CSV,"price=24919.50,netflow=-0.50"
2025-11-18 01:58:00.000,PLOT,115,BULL,Triangle drawn on chart,netflow=-0.50
2025-11-18 01:58:30.000,LOGGED,116,BULL,Written to signals CSV,"price=24918.00,netflow=-0.50"
2025-11-18 02:16:00.000,PLOT,151,BEAR,Triangle drawn on chart,netflow=0.50
2025-11-18 02:16:30.000,LOGGED,152,BEAR,Written to signals CSV,"price=24919.00,netflow=0.50"
