timestamp,event,CurrentBar,EnableLogging,LogDrawnSignals,LogFolder,logInitialized,signalDrawInitialized,State,Instrument,AdditionalInfo
2025-11-17 13:35:07.448,InitDebugLogger_Success,0,True,True,null,True,True,Historical,MNQ 12-25,{debugLogPath=C:\Mac\Home\Documents\NinjaTrader 8\indicators_log\CBASTestingIndicator3_DEBUG_2025-11-17_13-35-07.csv; LogFolder=null; EnableLogging=True; LogDrawnSignals=True}
2025-11-17 13:35:08.347,FlushCachedBar_Called,1,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=0; CurrentBar=1}
2025-11-17 13:35:08.347,FlushCachedBar_Logging,1,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=0}
2025-11-17 13:35:08.366,FlushCachedBar_Called,2,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=1; CurrentBar=2}
2025-11-17 13:35:08.366,FlushCachedBar_Logging,2,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=1}
2025-11-17 13:35:08.393,FlushCachedBar_Called,3,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=2; CurrentBar=3}
2025-11-17 13:35:08.395,FlushCachedBar_Logging,3,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=2}
2025-11-17 13:35:08.406,FlushCachedBar_Called,4,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=3; CurrentBar=4}
2025-11-17 13:35:08.406,FlushCachedBar_Logging,4,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=3}
2025-11-17 13:35:08.419,FlushCachedBar_Called,5,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=4; CurrentBar=5}
2025-11-17 13:35:08.419,FlushCachedBar_Logging,5,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=4}
2025-11-17 13:35:08.435,FlushCachedBar_Called,6,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=5; CurrentBar=6}
2025-11-17 13:35:08.435,FlushCachedBar_Logging,6,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=5}
2025-11-17 13:35:08.441,FlushCachedBar_Called,7,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=6; CurrentBar=7}
2025-11-17 13:35:08.444,FlushCachedBar_Logging,7,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=6}
2025-11-17 13:35:08.450,FlushCachedBar_Called,8,True,True,null,True,True,Historical,MNQ 12-25,{EnableLogging=True; logInitialized=True; hasCachedBar=True; LogSignalsOnly=False; cachedBarIndex=7; CurrentBar=8}
2025-11-17 13:35:08.452,FlushCachedBar_Logging,8,True,True,null,True,True,Historical,MNQ 12-25,{cachedBarIndex=7}
