ts_local,event_type,bar_index,signal_type,action_reason,notes
2025-11-17 01:06:00.000,PLOT,11,BEAR,Triangle drawn on chart,netflow=-0.50
2025-11-17 01:06:30.000,LOGGED,12,BEAR,Written to signals CSV,"price=25045.50,netflow=-0.50"
2025-11-17 01:12:00.000,PLOT,23,BULL,Triangle drawn on chart,netflow=1.64
2025-11-17 01:12:30.000,LOGGED,24,BULL,Written to signals CSV,"price=25095.75,netflow=1.64"
2025-11-17 01:51:00.000,PLOT,101,BEAR,Triangle drawn on chart,netflow=-0.93
2025-11-17 01:51:30.000,LOGGED,102,BEAR,Written to signals CSV,"price=25166.00,netflow=-0.93"
2025-11-17 01:51:30.000,PLOT,102,BULL,Triangle drawn on chart,netflow=-0.90
2025-11-17 01:52:00.000,LOGGED,103,BULL,Written to signals CSV,"price=25168.00,netflow=-0.90"
2025-11-17 01:52:00.000,PLOT,103,BEAR,Triangle drawn on chart,netflow=-2.00
2025-11-17 01:52:30.000,LOGGED,104,BEAR,Written to signals CSV,"price=25165.50,netflow=-2.00"
2025-11-17 01:52:30.000,PLOT,104,BULL,Triangle drawn on chart,netflow=0.77
2025-11-17 01:53:00.000,LOGGED,105,BULL,Written to signals CSV,"price=25172.75,netflow=0.77"
2025-11-17 01:54:00.000,PLOT,107,BEAR,Triangle drawn on chart,netflow=-2.00
2025-11-17 01:54:30.000,LOGGED,108,BEAR,Written to signals CSV,"price=25167.25,netflow=-2.00"
2025-11-17 01:54:30.000,PLOT,108,BULL,Triangle drawn on chart,netflow=2.01
2025-11-17 01:55:00.000,LOGGED,109,BULL,Written to signals CSV,"price=25176.75,netflow=2.01"
2025-11-17 02:07:30.000,PLOT,134,BEAR,Triangle drawn on chart,netflow=-3.00
2025-11-17 02:08:00.000,LOGGED,135,BEAR,Written to signals CSV,"price=25165.00,netflow=-3.00"
2025-11-17 02:29:00.000,PLOT,177,BULL,Triangle drawn on chart,netflow=1.41
2025-11-17 02:29:30.000,LOGGED,178,BULL,Written to signals CSV,"price=25165.50,netflow=1.41"
2025-11-17 02:56:30.000,PLOT,232,BEAR,Triangle drawn on chart,netflow=1.81
2025-11-17 02:57:00.000,LOGGED,233,BEAR,Written to signals CSV,"price=25235.75,netflow=1.81"
