ts_local,event_type,bar_index,signal_type,action_reason,notes
2025-11-17 04:49:30.000,LOGGED,458,BEAR,Written to signals CSV,"price=25226.00,netflow=1.72"
2025-11-17 04:49:30.000,PLOT,458,BULL,Triangle drawn on chart,netflow=2.46
2025-11-17 04:50:00.000,LOGGED,459,BULL,Written to signals CSV,"price=25229.00,netflow=2.46"
2025-11-17 05:19:30.000,PLOT,518,BEAR,Triangle drawn on chart,netflow=2.00
2025-11-17 05:20:00.000,LOGGED,519,BEAR,Written to signals CSV,"price=25255.00,netflow=2.00"
2025-11-17 05:21:30.000,PLOT,522,BULL,Triangle drawn on chart,netflow=1.00
2025-11-17 05:22:00.000,LOGGED,523,BULL,Written to signals CSV,"price=25258.75,netflow=1.00"
2025-11-17 05:24:00.000,PLOT,527,BEAR,Triangle drawn on chart,netflow=0.50
2025-11-17 05:24:30.000,LOGGED,528,BEAR,Written to signals CSV,"price=25257.50,netflow=0.50"
2025-11-17 05:39:30.000,PLOT,558,BULL,Triangle drawn on chart,netflow=1.50
2025-11-17 05:40:00.000,LOGGED,559,BULL,Written to signals CSV,"price=25245.25,netflow=1.50"
2025-11-17 05:40:00.000,PLOT,559,BEAR,Triangle drawn on chart,netflow=0.50
2025-11-17 05:40:30.000,LOGGED,560,BEAR,Written to signals CSV,"price=25244.25,netflow=0.50"
2025-11-17 05:41:30.000,PLOT,562,BULL,Triangle drawn on chart,netflow=1.90
2025-11-17 05:42:00.000,LOGGED,563,BULL,Written to signals CSV,"price=25250.25,netflow=1.90"
2025-11-17 05:42:00.000,PLOT,563,BEAR,Triangle drawn on chart,netflow=1.81
2025-11-17 05:42:30.000,LOGGED,564,BEAR,Written to signals CSV,"price=25247.50,netflow=1.81"
2025-11-17 05:44:30.000,PLOT,568,BULL,Triangle drawn on chart,netflow=4.29
2025-11-17 05:45:00.000,LOGGED,569,BULL,Written to signals CSV,"price=25251.00,netflow=4.29"
2025-11-17 05:45:30.000,PLOT,570,BEAR,Triangle drawn on chart,netflow=3.93
2025-11-17 05:46:00.000,LOGGED,571,BEAR,Written to signals CSV,"price=25247.75,netflow=3.93"
2025-11-17 05:46:00.000,PLOT,571,BULL,Triangle drawn on chart,netflow=4.11
2025-11-17 05:46:30.000,LOGGED,572,BULL,Written to signals CSV,"price=25249.25,netflow=4.11"
2025-11-17 05:46:30.000,PLOT,572,BEAR,Triangle drawn on chart,netflow=2.10
2025-11-17 05:47:00.000,LOGGED,573,BEAR,Written to signals CSV,"price=25244.00,netflow=2.10"
2025-11-17 05:47:00.000,PLOT,573,BULL,Triangle drawn on chart,netflow=4.02
2025-11-17 05:47:30.000,LOGGED,574,BULL,Written to signals CSV,"price=25250.50,netflow=4.02"
2025-11-17 05:48:00.000,PLOT,575,BEAR,Triangle drawn on chart,netflow=4.31
2025-11-17 05:48:30.000,LOGGED,576,BEAR,Written to signals CSV,"price=25252.00,netflow=4.31"
2025-11-17 05:48:30.000,PLOT,576,BULL,Triangle drawn on chart,netflow=4.58
2025-11-17 05:49:00.000,LOGGED,577,BULL,Written to signals CSV,"price=25254.25,netflow=4.58"
2025-11-17 06:32:00.000,PLOT,663,BEAR,Triangle drawn on chart,netflow=0.62
2025-11-17 06:32:30.000,LOGGED,664,BEAR,Written to signals CSV,"price=25275.25,netflow=0.62"
2025-11-17 06:43:00.000,PLOT,685,BULL,Triangle drawn on chart,netflow=2.00
2025-11-17 06:43:30.000,LOGGED,686,BULL,Written to signals CSV,"price=25278.50,netflow=2.00"
2025-11-17 06:43:30.000,PLOT,686,BEAR,Triangle drawn on chart,netflow=3.63
2025-11-17 06:44:00.000,LOGGED,687,BEAR,Written to signals CSV,"price=25278.25,netflow=3.63"
2025-11-17 06:44:00.000,PLOT,687,BULL,Triangle drawn on chart,netflow=3.05
2025-11-17 06:44:30.000,LOGGED,688,BULL,Written to signals CSV,"price=25276.75,netflow=3.05"
2025-11-17 06:44:30.000,PLOT,688,BEAR,Triangle drawn on chart,netflow=2.27
2025-11-17 06:45:00.000,LOGGED,689,BEAR,Written to signals CSV,"price=25274.50,netflow=2.27"
2025-11-17 06:46:00.000,PLOT,691,BULL,Triangle drawn on chart,netflow=4.20
2025-11-17 06:46:30.000,LOGGED,692,BULL,Written to signals CSV,"price=25279.00,netflow=4.20"
2025-11-17 06:47:00.000,PLOT,693,BEAR,Triangle drawn on chart,netflow=3.04
2025-11-17 06:47:30.000,LOGGED,694,BEAR,Written to signals CSV,"price=25277.00,netflow=3.04"
2025-11-17 06:47:30.000,PLOT,694,BULL,Triangle drawn on chart,netflow=4.39
2025-11-17 06:48:00.000,LOGGED,695,BULL,Written to signals CSV,"price=25280.00,netflow=4.39"
2025-11-17 06:48:30.000,PLOT,696,BEAR,Triangle drawn on chart,netflow=2.62
2025-11-17 06:49:00.000,LOGGED,697,BEAR,Written to signals CSV,"price=25277.00,netflow=2.62"
2025-11-17 06:49:00.000,PLOT,697,BULL,Triangle drawn on chart,netflow=3.29
2025-11-17 06:49:30.000,LOGGED,698,BULL,Written to signals CSV,"price=25279.00,netflow=3.29"
2025-11-17 06:50:00.000,PLOT,699,BEAR,Triangle drawn on chart,netflow=1.47
2025-11-17 06:50:30.000,LOGGED,700,BEAR,Written to signals CSV,"price=25276.25,netflow=1.47"
2025-11-17 06:50:30.000,PLOT,700,BULL,Triangle drawn on chart,netflow=0.96
2025-11-17 06:51:00.000,LOGGED,701,BULL,Written to signals CSV,"price=25277.25,netflow=0.96"
2025-11-17 06:51:00.000,PLOT,701,BEAR,Triangle drawn on chart,netflow=0.30
2025-11-17 06:51:30.000,LOGGED,702,BEAR,Written to signals CSV,"price=25276.50,netflow=0.30"
2025-11-17 06:52:30.000,PLOT,704,BULL,Triangle drawn on chart,netflow=3.43
2025-11-17 06:53:00.000,LOGGED,705,BULL,Written to signals CSV,"price=25282.50,netflow=3.43"
2025-11-17 06:55:00.000,PLOT,709,BEAR,Triangle drawn on chart,netflow=2.36
2025-11-17 06:55:30.000,LOGGED,710,BEAR,Written to signals CSV,"price=25281.00,netflow=2.36"
2025-11-17 06:56:30.000,PLOT,712,BULL,Triangle drawn on chart,netflow=2.23
2025-11-17 06:57:00.000,LOGGED,713,BULL,Written to signals CSV,"price=25281.25,netflow=2.23"
2025-11-17 06:57:00.000,PLOT,713,BEAR,Triangle drawn on chart,netflow=2.20
2025-11-17 06:57:30.000,LOGGED,714,BEAR,Written to signals CSV,"price=25281.00,netflow=2.20"
2025-11-17 06:57:30.000,PLOT,714,BULL,Triangle drawn on chart,netflow=3.41
2025-11-17 06:58:00.000,LOGGED,715,BULL,Written to signals CSV,"price=25282.00,netflow=3.41"
2025-11-17 06:58:00.000,PLOT,715,BEAR,Triangle drawn on chart,netflow=1.30
2025-11-17 06:58:30.000,LOGGED,716,BEAR,Written to signals CSV,"price=25280.75,netflow=1.30"
2025-11-17 07:03:00.000,PLOT,725,BULL,Triangle drawn on chart,netflow=1.90
2025-11-17 07:03:30.000,LOGGED,726,BULL,Written to signals CSV,"price=25281.75,netflow=1.90"
2025-11-17 07:04:00.000,PLOT,727,BEAR,Triangle drawn on chart,netflow=1.50
2025-11-17 07:04:30.000,LOGGED,728,BEAR,Written to signals CSV,"price=25280.75,netflow=1.50"
