ts_local,bar_time_utc,bar_index,open,high,low,close,vpm,attract,objection,netflow,ema_color,momentum,supertrend,upper_band,lower_band,bull_cross,bear_cross,bull_cross_raw,bear_cross_raw,bull_reason,bear_reason,realtime_state,realtime_reason,regime,atr30,ema10,ema20,energy_ema_first,range_max,range_min,range_mid,range_os,range_count,score_bull,score_bear,adx,atr_ratio,ema_spread,price_to_band,momentum_ext,range_break,exit_long,exit_short
2025-11-14 01:00:30.000,2025-11-14T07:00:30.0000000Z,0,25100,25111.75,25087.5,25106.5,2,,,,,,,,,0,0,0,0,,,FLAT,,FLAT,12.5,25106.63636363636,25106.571428571431,25110.850000000002,,,,0,,,0,0,,,,0,,0,0,0
2025-11-14 01:01:00.000,2025-11-14T07:01:00.0000000Z,1,25107.25,25118.75,25105.5,25116,2,,,,,,,,,0,0,0,0,,,FLAT,,FLAT,12.583333333333334,25109.595041322311,25108.199546485263,25113.670000000006,,,,0,,,0,0,,,,0,,0,0,0
2025-11-14 01:01:30.000,2025-11-14T07:01:30.0000000Z,2,25115.75,25137.75,25112,25126.75,2,,,,,,,,,0,0,0,0,,,FLAT,,FLAT,15.9375,25114.259579263708,25110.866483101177,25119.706000000006,,,,0,,,0,0,,,,0,,0,0,0
2025-11-14 01:02:00.000,2025-11-14T07:02:00.0000000Z,3,25126.25,25133.25,25124.75,25127.25,2,,,,,,,,,0,0,0,0,,,FLAT,,FLAT,14.4,25116.724779728156,25112.489176320563,25122.284800000009,,,,0,,,0,0,,,,0,,0,0,0
2025-11-14 01:02:30.000,2025-11-14T07:02:30.0000000Z,4,25127,25135,25127,25129.25,2,,,,,,,,,0,0,0,0,,,FLAT,,FLAT,13.333333333333334,25119.38225779411,25114.303132317244,25125.007840000009,,,,0,,,0,0,,,,0,,0,0,0
2025-11-14 01:03:00.000,2025-11-14T07:03:00.0000000Z,5,25129.5,25129.5,25122.25,25127.25,2,,,,,,,,,0,0,0,0,,,FLAT,,FLAT,12.535714285714286,25120.614409269558,25115.413718355056,25125.606272000012,,,,0,,,0,0,,,,0,,0,0,0
2025-11-14 01:03:30.000,2025-11-14T07:03:30.0000000Z,6,25128,25132,25126,25130.5,6,,,,,,,,,0,0,0,0,,,FLAT,,FLAT,11.6875,25122.692781137903,25117.018307536662,25127.12501760001,,,,0,,,0,0,,,,0,,0,0,0
2025-11-14 01:04:00.000,2025-11-14T07:04:00.0000000Z,7,25130,25136,25127.5,25129.75,2,,,,,,,,,0,0,0,0,,,FLAT,,FLAT,11.361111111111111,25124.075085393823,25118.28073629734,25128.760014080013,,,,0,,,0,0,,,,0,,0,0,0
2025-11-14 01:04:30.000,2025-11-14T07:04:30.0000000Z,8,25130.5,25136.75,25130.5,25132.5,2,,,,,,,,,0,0,0,0,,,FLAT,,FLAT,10.9,25125.81349961974,25119.759668441358,25130.408011264015,,,,0,,,0,0,,,,0,,0,0,0
2025-11-14 01:05:00.000,2025-11-14T07:05:00.0000000Z,9,25132,25137.25,25132,25135,2,,,,,,,,,0,0,0,0,,,FLAT,,FLAT,10.454545454545455,25127.702780680611,25121.350584372114,25131.916409011214,,,,0,,,0,0,,,,0,,0,0,0
