ts_local,event_type,bar_index,signal_type,action_reason,notes
2025-11-19 04:55:30.000,LOGGED,470,BEAR,Written to signals CSV,"price=24631.75,netflow=0.50"
2025-11-19 04:56:00.000,PLOT,471,BULL,Triangle drawn on chart,netflow=1.69
2025-11-19 04:56:30.000,LOGGED,472,BULL,Written to signals CSV,"price=24638.25,netflow=1.69"
2025-11-19 05:09:00.000,PLOT,497,BEAR,Triangle drawn on chart,netflow=0.50
2025-11-19 05:09:30.000,LOGGED,498,BEAR,Written to signals CSV,"price=24632.75,netflow=0.50"
2025-11-19 06:17:00.000,PLOT,633,BULL,Triangle drawn on chart,netflow=0.50
2025-11-19 06:17:30.000,LOGGED,634,BULL,Written to signals CSV,"price=24537.25,netflow=0.50"
2025-11-19 06:19:30.000,PLOT,638,BEAR,Triangle drawn on chart,netflow=-0.54
2025-11-19 06:20:00.000,LOGGED,639,BEAR,Written to signals CSV,"price=24533.50,netflow=-0.54"
2025-11-19 06:20:30.000,PLOT,640,BULL,Triangle drawn on chart,netflow=2.36
2025-11-19 06:21:00.000,LOGGED,641,BULL,Written to signals CSV,"price=24536.50,netflow=2.36"
2025-11-19 06:26:30.000,PLOT,652,BEAR,Triangle drawn on chart,netflow=1.05
2025-11-19 06:27:00.000,LOGGED,653,BEAR,Written to signals CSV,"price=24534.25,netflow=1.05"
2025-11-19 06:27:00.000,PLOT,653,BULL,Triangle drawn on chart,netflow=2.85
2025-11-19 06:27:30.000,LOGGED,654,BULL,Written to signals CSV,"price=24542.75,netflow=2.85"
2025-11-19 06:31:00.000,PLOT,661,BEAR,Triangle drawn on chart,netflow=-0.82
2025-11-19 06:31:30.000,LOGGED,662,BEAR,Written to signals CSV,"price=24531.50,netflow=-0.82"
2025-11-19 06:43:30.000,PLOT,686,BULL,Triangle drawn on chart,netflow=0.66
2025-11-19 06:44:00.000,LOGGED,687,BULL,Written to signals CSV,"price=24529.75,netflow=0.66"
2025-11-19 06:46:00.000,PLOT,691,BEAR,Triangle drawn on chart,netflow=-0.07
2025-11-19 06:46:30.000,LOGGED,692,BEAR,Written to signals CSV,"price=24528.75,netflow=-0.07"
2025-11-19 06:48:00.000,PLOT,695,BULL,Triangle drawn on chart,netflow=2.67
2025-11-19 06:48:30.000,LOGGED,696,BULL,Written to signals CSV,"price=24540.00,netflow=2.67"
2025-11-19 06:49:30.000,PLOT,698,BEAR,Triangle drawn on chart,netflow=1.60
2025-11-19 06:50:00.000,LOGGED,699,BEAR,Written to signals CSV,"price=24534.00,netflow=1.60"
2025-11-19 06:50:00.000,PLOT,699,BULL,Triangle drawn on chart,netflow=1.65
2025-11-19 06:50:30.000,LOGGED,700,BULL,Written to signals CSV,"price=24537.00,netflow=1.65"
2025-11-19 06:50:30.000,PLOT,700,BEAR,Triangle drawn on chart,netflow=-1.09
2025-11-19 06:51:00.000,LOGGED,701,BEAR,Written to signals CSV,"price=24533.75,netflow=-1.09"
2025-11-19 06:51:00.000,PLOT,701,BULL,Triangle drawn on chart,netflow=2.56
2025-11-19 06:51:30.000,LOGGED,702,BULL,Written to signals CSV,"price=24538.50,netflow=2.56"
2025-11-19 06:56:30.000,PLOT,712,BEAR,Triangle drawn on chart,netflow=0.70
2025-11-19 06:57:00.000,LOGGED,713,BEAR,Written to signals CSV,"price=24536.75,netflow=0.70"
2025-11-19 07:02:00.000,PLOT,723,BULL,Triangle drawn on chart,netflow=-2.00
2025-11-19 07:02:30.000,LOGGED,724,BULL,Written to signals CSV,"price=24533.25,netflow=-2.00"
2025-11-19 07:02:30.000,PLOT,724,BEAR,Triangle drawn on chart,netflow=0.00
2025-11-19 07:03:00.000,LOGGED,725,BEAR,Written to signals CSV,"price=24534.50,netflow=0.00"
2025-11-19 07:03:00.000,PLOT,725,BULL,Triangle drawn on chart,netflow=0.00
2025-11-19 07:03:30.000,LOGGED,726,BULL,Written to signals CSV,"price=24534.75,netflow=0.00"
2025-11-19 07:03:30.000,PLOT,726,BEAR,Triangle drawn on chart,netflow=1.00
2025-11-19 07:04:00.000,LOGGED,727,BEAR,Written to signals CSV,"price=24538.25,netflow=1.00"
2025-11-19 07:04:00.000,PLOT,727,BULL,Triangle drawn on chart,netflow=0.50
2025-11-19 07:04:30.000,LOGGED,728,BULL,Written to signals CSV,"price=24535.00,netflow=0.50"
2025-11-19 07:08:30.000,PLOT,736,BEAR,Triangle drawn on chart,netflow=-2.50
2025-11-19 07:09:00.000,LOGGED,737,BEAR,Written to signals CSV,"price=24528.50,netflow=-2.50"
2025-11-19 07:10:00.000,PLOT,739,BULL,Triangle drawn on chart,netflow=2.09
2025-11-19 07:10:30.000,LOGGED,740,BULL,Written to signals CSV,"price=24540.50,netflow=2.09"
2025-11-19 07:10:30.000,PLOT,740,BEAR,Triangle drawn on chart,netflow=0.00
2025-11-19 07:11:00.000,LOGGED,741,BEAR,Written to signals CSV,"price=24536.00,netflow=0.00"
2025-11-19 07:21:00.000,PLOT,761,BULL,Triangle drawn on chart,netflow=-0.50
2025-11-19 07:21:30.000,LOGGED,762,BULL,Written to signals CSV,"price=24530.75,netflow=-0.50"
2025-11-19 07:27:00.000,PLOT,773,BEAR,Triangle drawn on chart,netflow=0.00
2025-11-19 07:27:30.000,LOGGED,774,BEAR,Written to signals CSV,"price=24520.50,netflow=0.00"
2025-11-19 07:51:30.000,PLOT,822,BULL,Triangle drawn on chart,netflow=3.96
2025-11-19 07:52:00.000,LOGGED,823,BULL,Written to signals CSV,"price=24510.00,netflow=3.96"
2025-11-19 08:28:00.000,PLOT,895,BEAR,Triangle drawn on chart,netflow=2.00
2025-11-19 08:28:30.000,LOGGED,896,BEAR,Written to signals CSV,"price=24539.00,netflow=2.00"
2025-11-19 08:30:30.000,PLOT,900,BULL,Triangle drawn on chart,netflow=2.50
2025-11-19 08:31:00.000,LOGGED,901,BULL,Written to signals CSV,"price=24548.75,netflow=2.50"
2025-11-19 08:45:00.000,PLOT,929,BEAR,Triangle drawn on chart,netflow=0.50
2025-11-19 08:45:30.000,LOGGED,930,BEAR,Written to signals CSV,"price=24549.75,netflow=0.50"
2025-11-19 08:53:00.000,PLOT,945,BULL,Triangle drawn on chart,netflow=2.00
2025-11-19 08:53:30.000,LOGGED,946,BULL,Written to signals CSV,"price=24549.25,netflow=2.00"
2025-11-19 08:53:30.000,PLOT,946,BEAR,Triangle drawn on chart,netflow=1.00
2025-11-19 08:54:00.000,LOGGED,947,BEAR,Written to signals CSV,"price=24545.75,netflow=1.00"
2025-11-19 08:54:30.000,PLOT,948,BULL,Triangle drawn on chart,netflow=3.60
2025-11-19 08:55:00.000,LOGGED,949,BULL,Written to signals CSV,"price=24555.50,netflow=3.60"
2025-11-19 08:55:30.000,PLOT,950,BEAR,Triangle drawn on chart,netflow=2.50
2025-11-19 08:56:00.000,LOGGED,951,BEAR,Written to signals CSV,"price=24550.50,netflow=2.50"
2025-11-19 08:56:00.000,PLOT,951,BULL,Triangle drawn on chart,netflow=2.66
2025-11-19 08:56:30.000,LOGGED,952,BULL,Written to signals CSV,"price=24552.50,netflow=2.66"
2025-11-19 08:58:00.000,PLOT,955,BEAR,Triangle drawn on chart,netflow=2.49
