ts,method,bip,state,instrument,account,msg
2025-11-19 08:52:33.657,RefreshDynamicParameters,0,DataLoaded,MNQ 12-25,Sim101,2_11/19/2025 1:00:30 AM DynSizing -> TA:42 SL:21 QtyA:5 QtyB:5 (UseVol=False)
2025-11-19 08:52:34.492,ManageRunnerStopsCompact,0,Historical,MNQ 12-25,Sim101,[RunnerArm] LAopen=False LAmode=False SAopen=False SAmode=False armedLB=True armedSB=True RunnerTrailsWithA=True activeQtyA=5
2025-11-19 08:52:56.480,OnStateChange,0,Realtime,MNQ 12-25,Sim101,100_[RealtimeStart] nowUtc=2025-11-19T06:52:56.4779997Z CD_longRem=0.0s CD_shortRem=0.0s
2025-11-19 08:52:56.483,OnStateChange,0,Realtime,MNQ 12-25,Sim101,Test line at 2025-11-19T08:53:00.0000000
2025-11-19 08:53:08.166,SubmitShortAB,0,Realtime,MNQ 12-25,Sim101,19_11/19/2025 8:53:30 AM SubmitShortAB: QtyA=5 QtyB=5
2025-11-19 08:53:08.467,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"34,11/19/2025 8:53:08 AM ENTRY , ShortA , Action=SellShort , State=Submitted , Qty=5 Filled=0 , Avg=0 , Err=NoError "
2025-11-19 08:53:08.515,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"34,11/19/2025 8:53:08 AM ENTRY , ShortB , Action=SellShort , State=Submitted , Qty=5 Filled=0 , Avg=0 , Err=NoError "
2025-11-19 08:53:08.576,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"34,11/19/2025 8:53:08 AM ENTRY , ShortA , Action=SellShort , State=Accepted , Qty=5 Filled=0 , Avg=0 , Err=NoError "
2025-11-19 08:53:08.579,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"34,11/19/2025 8:53:08 AM ENTRY , ShortA , Action=SellShort , State=Working , Qty=5 Filled=0 , Avg=0 , Err=NoError "
2025-11-19 08:53:08.588,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"34,11/19/2025 8:53:08 AM ENTRY , ShortA , Action=SellShort , State=PartFilled , Qty=5 Filled=3 , Avg=24546.75 , Err=NoError "
2025-11-19 08:53:08.611,OnExecutionUpdate,0,Realtime,MNQ 12-25,Sim101,[LegQtyExec] o=ShortA From= execQty=3 LA=0 LB=0 SA=3 SB=0 posQty=3
2025-11-19 08:53:08.641,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"34,11/19/2025 8:53:08 AM ENTRY , ShortB , Action=SellShort , State=Accepted , Qty=5 Filled=0 , Avg=0 , Err=NoError "
2025-11-19 08:53:08.645,ArmOrTightenStop,0,Realtime,MNQ 12-25,Sim101,[EnsureA-Fixed] ShortA SL_A -> 24552
2025-11-19 08:53:08.646,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"34,11/19/2025 8:53:08 AM ENTRY , ShortB , Action=SellShort , State=Working , Qty=5 Filled=0 , Avg=0 , Err=NoError "
2025-11-19 08:53:08.677,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/19/2025 8:53:08 AM , SL_A , FromEntry=ShortA , State=Submitted , Lmt=0 Stp=24552 , Qty=3 Filled=0 , Error=NoError "
2025-11-19 08:53:08.684,ArmOrTightenStop,0,Realtime,MNQ 12-25,Sim101,[EnsureA-Fixed] ShortA SL_A -> 24552
2025-11-19 08:53:08.747,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"34,11/19/2025 8:53:08 AM ENTRY , ShortA , Action=SellShort , State=Filled , Qty=5 Filled=5 , Avg=24546.65 , Err=NoError "
2025-11-19 08:53:08.749,OnExecutionUpdate,0,Realtime,MNQ 12-25,Sim101,[LegQtyExec] o=ShortA From= execQty=2 LA=0 LB=0 SA=5 SB=0 posQty=5
2025-11-19 08:53:08.751,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/19/2025 8:53:08 AM , SL_A , FromEntry=ShortA , State=CancelPending , Lmt=0 Stp=24552 , Qty=3 Filled=0 , Error=NoError "
2025-11-19 08:53:08.792,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/19/2025 8:53:08 AM , SL_A , FromEntry=ShortA , State=CancelPending , Lmt=0 Stp=24552 , Qty=3 Filled=0 , Error=NoError "
2025-11-19 08:53:08.798,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/19/2025 8:53:08 AM , SL_A , FromEntry=ShortA , State=CancelSubmitted , Lmt=0 Stp=24552 , Qty=3 Filled=0 , Error=NoError "
2025-11-19 08:53:08.799,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/19/2025 8:53:08 AM , SL_A , FromEntry=ShortA , State=Accepted , Lmt=0 Stp=24552 , Qty=3 Filled=0 , Error=NoError "
2025-11-19 08:53:08.813,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/19/2025 8:53:08 AM , PT_A , FromEntry=ShortA , State=Submitted , Lmt=24536.25 Stp=24552.75 , Qty=5 Filled=0 , Error=NoError "
2025-11-19 08:53:08.814,OnExecutionUpdate,0,Realtime,MNQ 12-25,Sim101,"29,11/19/2025 8:53:08 AM ShortA FULL fill @ 24546.65 , PT_A=24536.25 SL_A=24552 , dynTA=42 dynSLTicks=21"
2025-11-19 08:53:08.815,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"34,11/19/2025 8:53:08 AM ENTRY , ShortB , Action=SellShort , State=PartFilled , Qty=5 Filled=3 , Avg=24546.75 , Err=NoError "
2025-11-19 08:53:08.819,OnExecutionUpdate,0,Realtime,MNQ 12-25,Sim101,[LegQtyExec] o=ShortB From= execQty=3 LA=0 LB=0 SA=5 SB=3 posQty=8
2025-11-19 08:53:08.852,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/19/2025 8:53:08 AM , SL_B , FromEntry=ShortB , State=Submitted , Lmt=0 Stp=24552 , Qty=3 Filled=0 , Error=NoError "
2025-11-19 08:53:08.855,ArmOrTightenStop,0,Realtime,MNQ 12-25,Sim101,[EnsureB-Fixed] ShortB SL_B -> 24552
2025-11-19 08:53:08.882,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"34,11/19/2025 8:53:08 AM ENTRY , ShortB , Action=SellShort , State=Filled , Qty=5 Filled=5 , Avg=24546.65 , Err=NoError "
2025-11-19 08:53:08.884,OnExecutionUpdate,0,Realtime,MNQ 12-25,Sim101,[LegQtyExec] o=ShortB From= execQty=2 LA=0 LB=0 SA=5 SB=5 posQty=10
2025-11-19 08:53:08.889,OnExecutionUpdate,0,Realtime,MNQ 12-25,Sim101,"31,11/19/2025 8:53:08 AM ShortB FULL fill @ 24546.65 , SL_B init=24552 , dynSLTicks=21 , armed=False"
2025-11-19 08:53:08.920,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/19/2025 8:53:08 AM , PT_A , FromEntry=ShortA , State=Accepted , Lmt=24536.25 Stp=24552.75 , Qty=5 Filled=0 , Error=NoError "
2025-11-19 08:53:08.922,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/19/2025 8:53:08 AM , PT_A , FromEntry=ShortA , State=Working , Lmt=24536.25 Stp=24552.75 , Qty=5 Filled=0 , Error=NoError "
2025-11-19 08:53:08.970,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/19/2025 8:53:08 AM , SL_B , FromEntry=ShortB , State=Accepted , Lmt=0 Stp=24552 , Qty=3 Filled=0 , Error=NoError "
2025-11-19 08:53:08.993,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/19/2025 8:53:08 AM , SL_A , FromEntry=ShortA , State=Submitted , Lmt=0 Stp=24552 , Qty=5 Filled=0 , Error=NoError "
2025-11-19 08:53:08.994,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"49,11/19/2025 8:53:08 AM SL_A cancelled but leg still open for ShortA. Re-submitted stop at 24552."
2025-11-19 08:53:08.995,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/19/2025 8:53:08 AM , SL_A , FromEntry=ShortA , State=Cancelled , Lmt=0 Stp=24552 , Qty=3 Filled=0 , Error=NoError "
2025-11-19 08:53:09.102,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/19/2025 8:53:09 AM , SL_A , FromEntry=ShortA , State=Accepted , Lmt=0 Stp=24552 , Qty=5 Filled=0 , Error=NoError "
2025-11-19 08:53:10.555,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerArm] LAopen=False LAmode=False SAopen=True SAmode=False armedLB=False armedSB=False RunnerTrailsWithA=True activeQtyA=5
2025-11-19 08:53:47.434,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/19/2025 8:53:47 AM , SL_B , FromEntry=ShortB , State=Working , Lmt=0 Stp=24552 , Qty=3 Filled=0 , Error=NoError "
2025-11-19 08:53:47.434,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/19/2025 8:53:47 AM , SL_A , FromEntry=ShortA , State=Working , Lmt=0 Stp=24552 , Qty=5 Filled=0 , Error=NoError "
2025-11-19 08:53:47.464,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"[CDN_STAMP_EVT], 2025-11-19T08:53:47.4357338 dir=SHORT anchorUtc=2025-11-19T06:53:47.4649802Z desiredExp=2025-11-19T06:53:52.4649802Z setExp=2025-11-19T06:53:52.4649802Z"
2025-11-19 08:53:47.464,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"[CDN_CHECK_POST], state=Realtime barT=2025-11-19T08:54:00.0000000 dir=SHORT rem=5.00s nowUtc=2025-11-19T06:53:47.4649802Z"
2025-11-19 08:53:47.464,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/19/2025 8:53:47 AM , SL_B , FromEntry=ShortB , State=Filled , Lmt=0 Stp=24552 , Qty=3 Filled=3 , Error=NoError "
2025-11-19 08:53:47.476,OnExecutionUpdate,0,Realtime,MNQ 12-25,Sim101,[LegQtyExec] o=SL_B From=ShortB execQty=3 LA=0 LB=0 SA=5 SB=2 posQty=7
2025-11-19 08:53:47.480,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"44,11/19/2025 8:53:47 AM SL_A partial fill; runner KEPT (partialCfg=False, fullCfg=False)."
2025-11-19 08:53:47.482,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"46,11/19/2025 8:53:47 AM SL_A partial for ShortA. Stop unchanged at 24552, not resubmitting."
