timestamp,bar,direction,open,high,low,close,openFinal,highFinal,lowFinal,closeFinal,candleType,fastEma,fastEmaGradDeg,volume,bodyPct,upperWick,lowerWick,action,orderName,quantity,price,pnl,reason,prevOpen,prevClose,prevCandleType,allowLongThisBar,allowShortThisBar,trendUpAtDecision,trendDownAtDecision,decisionBarIndex,pendingShortFromGood,pendingLongFromBad,barPattern
2025-12-15 06:20:00.000,849,FLAT,25500.7500,25501.0000,25490.2500,25493.2500,25500.7500,25501.0000,25490.2500,25493.2500,bad,25499.5543,-64.8266,350,-0.697674,0.2500,3.0000,BAR,,0,0,,Flat,,,,False,True,False,True,849,False,False,
2025-12-15 06:22:00.000,850,FLAT,25493.5000,25495.5000,25491.0000,25493.5000,25493.5000,25495.5000,25491.0000,25493.5000,good_and_bad,25497.5362,-68.8520,242,0.000000,2.0000,2.5000,BAR,,0,0,,Flat,,,,True,True,False,True,850,False,False,
2025-12-15 06:24:00.000,851,FLAT,25493.7500,25500.0000,25493.5000,25496.0000,25493.7500,25500.0000,25493.5000,25496.0000,good,25497.0241,-51.6748,160,0.346154,4.0000,0.2500,BAR,,0,0,,Flat,,,,True,False,False,True,851,True,False,
2025-12-15 06:26:00.000,852,FLAT,25496.0000,25497.2500,25493.7500,25497.0000,25496.0000,25497.2500,25493.7500,25497.0000,good,25497.0161,-14.5770,140,0.285714,0.2500,2.2500,BAR,,0,0,,Flat,,,,True,False,True,False,852,False,False,
2025-12-15 06:28:00.000,853,FLAT,25497.2500,25506.0000,25495.5000,25504.5000,25497.2500,25506.0000,25495.5000,25504.5000,good,25499.5107,51.1899,455,0.690476,1.5000,1.7500,BAR,,0,0,,Flat,,,,True,False,True,False,853,False,False,
2025-12-15 06:32:00.000,854,LONG,25505.0000,25514.7500,25505.0000,25509.5000,25505.0000,25514.7500,25505.0000,25509.5000,good,25502.8405,51.1899,408,0.461538,5.2500,0.0000,ENTRY,BarsOnTheFlowLong,1,25509.7500,,TrendUp,25497.2500,25504.5000,good,True,False,True,False,854,False,False,2B3G
2025-12-15 06:30:00.000,854,LONG,25505.0000,25514.7500,25505.0000,25509.5000,25505.0000,25514.7500,25505.0000,25509.5000,good,25502.8405,71.0484,408,0.461538,5.2500,0.0000,BAR,,1,25509.75,,InTrade,,,,True,False,True,False,854,False,False,
2025-12-15 06:32:00.000,855,LONG,25509.7500,25510.7500,25505.0000,25510.5000,25509.7500,25510.7500,25505.0000,25510.5000,good,25505.3937,71.2237,259,0.130435,0.2500,4.7500,BAR,,1,25509.75,,InTrade,,,,True,False,True,False,855,False,False,
2025-12-15 06:34:00.000,856,LONG,25510.5000,25511.0000,25506.5000,25507.7500,25510.5000,25511.0000,25506.5000,25507.7500,bad,25506.1791,59.0763,204,-0.611111,0.5000,1.2500,BAR,,1,25509.75,,InTrade,,,,False,True,True,False,856,False,False,
2025-12-15 06:36:00.000,857,LONG,25507.7500,25510.0000,25504.2500,25507.2500,25507.7500,25510.0000,25504.2500,25507.2500,bad,25506.5361,29.7353,180,-0.086957,2.2500,3.0000,BAR,,1,25509.75,,InTrade,,,,False,True,True,False,857,False,False,
