ts,method,bip,state,instrument,account,msg
2025-11-18 22:22:21.634,RefreshDynamicParameters,0,DataLoaded,MNQ 12-25,Sim101,2_11/17/2025 1:00:30 AM DynSizing -> TA:42 SL:21 QtyA:5 QtyB:5 (UseVol=False)
2025-11-18 22:23:20.367,ManageRunnerStopsCompact,0,Historical,MNQ 12-25,Sim101,[RunnerArm] LAopen=False LAmode=False SAopen=False SAmode=False armedLB=True armedSB=True RunnerTrailsWithA=True activeQtyA=5
2025-11-18 22:28:39.844,OnStateChange,0,Realtime,MNQ 12-25,Sim101,100_[RealtimeStart] nowUtc=2025-11-18T20:28:39.8438688Z CD_longRem=0.0s CD_shortRem=0.0s
2025-11-18 22:28:39.847,OnStateChange,0,Realtime,MNQ 12-25,Sim101,Test line at 2025-11-18T22:22:30.0000000
2025-11-18 22:31:59.456,SubmitLongAB,0,Realtime,MNQ 12-25,Sim101,16_11/18/2025 10:32:30 PM SubmitLongAB: QtyA=5 QtyB=5
2025-11-18 22:32:00.267,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"34,11/18/2025 10:31:59 PM ENTRY , LongA , Action=Buy , State=Submitted , Qty=5 Filled=0 , Avg=0 , Err=NoError "
2025-11-18 22:32:00.368,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"34,11/18/2025 10:32:00 PM ENTRY , LongB , Action=Buy , State=Submitted , Qty=5 Filled=0 , Avg=0 , Err=NoError "
2025-11-18 22:32:00.423,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"34,11/18/2025 10:32:00 PM ENTRY , LongA , Action=Buy , State=Accepted , Qty=5 Filled=0 , Avg=0 , Err=NoError "
2025-11-18 22:32:00.433,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"34,11/18/2025 10:32:00 PM ENTRY , LongA , Action=Buy , State=Working , Qty=5 Filled=0 , Avg=0 , Err=NoError "
2025-11-18 22:32:00.452,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"34,11/18/2025 10:32:00 PM ENTRY , LongA , Action=Buy , State=PartFilled , Qty=5 Filled=2 , Avg=24677.5 , Err=NoError "
2025-11-18 22:32:00.483,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"34,11/18/2025 10:32:00 PM ENTRY , LongB , Action=Buy , State=Accepted , Qty=5 Filled=0 , Avg=0 , Err=NoError "
2025-11-18 22:32:00.491,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"34,11/18/2025 10:32:00 PM ENTRY , LongB , Action=Buy , State=Working , Qty=5 Filled=0 , Avg=0 , Err=NoError "
2025-11-18 22:32:00.623,OnExecutionUpdate,0,Realtime,MNQ 12-25,Sim101,[LegQtyExec] o=LongA From= execQty=2 LA=2 LB=0 SA=0 SB=0 posQty=2
2025-11-18 22:32:00.764,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 10:32:00 PM , SL_A , FromEntry=LongA , State=Submitted , Lmt=0 Stp=24672.25 , Qty=2 Filled=0 , Error=NoError "
2025-11-18 22:32:00.854,ArmOrTightenStop,0,Realtime,MNQ 12-25,Sim101,[EnsureA-Fixed] LongA SL_A -> 24672.25
2025-11-18 22:32:00.896,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 10:32:00 PM , SL_A , FromEntry=LongA , State=Accepted , Lmt=0 Stp=24672.25 , Qty=2 Filled=0 , Error=NoError "
2025-11-18 22:32:01.139,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"34,11/18/2025 10:32:00 PM ENTRY , LongA , Action=Buy , State=Filled , Qty=5 Filled=5 , Avg=24677.65 , Err=NoError "
2025-11-18 22:32:01.203,OnExecutionUpdate,0,Realtime,MNQ 12-25,Sim101,[LegQtyExec] o=LongA From= execQty=3 LA=5 LB=0 SA=0 SB=0 posQty=5
2025-11-18 22:32:01.224,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 10:32:01 PM , SL_A , FromEntry=LongA , State=CancelPending , Lmt=0 Stp=24672.25 , Qty=2 Filled=0 , Error=NoError "
2025-11-18 22:32:01.236,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 10:32:01 PM , SL_A , FromEntry=LongA , State=CancelSubmitted , Lmt=0 Stp=24672.25 , Qty=2 Filled=0 , Error=NoError "
2025-11-18 22:32:01.309,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 10:32:01 PM , PT_A , FromEntry=LongA , State=Submitted , Lmt=24688.25 Stp=24671.25 , Qty=5 Filled=0 , Error=NoError "
2025-11-18 22:32:01.412,OnExecutionUpdate,0,Realtime,MNQ 12-25,Sim101,"28,11/18/2025 10:32:01 PM LongA FULL fill @ 24677.65 , PT_A=24688.25 SL_A=24672.5 , dynTA=42 dynSLTicks=21"
2025-11-18 22:32:01.422,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"34,11/18/2025 10:32:01 PM ENTRY , LongB , Action=Buy , State=PartFilled , Qty=5 Filled=1 , Avg=24677.5 , Err=NoError "
2025-11-18 22:32:01.422,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"[FailsafeSchedule] Stop cancelled, no proper stops active; scheduling failsafe."
2025-11-18 22:32:01.442,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 10:32:01 PM , PT_A , FromEntry=LongA , State=Accepted , Lmt=24688.25 Stp=24672 , Qty=5 Filled=0 , Error=NoError "
2025-11-18 22:32:01.456,OnExecutionUpdate,0,Realtime,MNQ 12-25,Sim101,[LegQtyExec] o=LongB From= execQty=1 LA=5 LB=1 SA=0 SB=0 posQty=6
2025-11-18 22:32:01.472,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 10:32:01 PM , PT_A , FromEntry=LongA , State=Working , Lmt=24688.25 Stp=24672 , Qty=5 Filled=0 , Error=NoError "
2025-11-18 22:32:01.540,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 10:32:01 PM , SL_B , FromEntry=LongB , State=Submitted , Lmt=0 Stp=24672.25 , Qty=1 Filled=0 , Error=NoError "
2025-11-18 22:32:01.544,ArmOrTightenStop,0,Realtime,MNQ 12-25,Sim101,[EnsureB-Fixed] LongB SL_B -> 24672.25
2025-11-18 22:32:01.572,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 10:32:01 PM , SL_A , FromEntry=LongA , State=Submitted , Lmt=0 Stp=24672.25 , Qty=5 Filled=0 , Error=NoError "
2025-11-18 22:32:01.574,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"49,11/18/2025 10:32:01 PM SL_A cancelled but leg still open for LongA. Re-submitted stop at 24672.25."
2025-11-18 22:32:01.574,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 10:32:01 PM , SL_A , FromEntry=LongA , State=Cancelled , Lmt=0 Stp=24672.25 , Qty=2 Filled=0 , Error=NoError "
2025-11-18 22:32:01.604,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"34,11/18/2025 10:32:01 PM ENTRY , LongB , Action=Buy , State=Filled , Qty=5 Filled=5 , Avg=24677.7 , Err=NoError "
2025-11-18 22:32:01.607,OnExecutionUpdate,0,Realtime,MNQ 12-25,Sim101,[LegQtyExec] o=LongB From= execQty=4 LA=5 LB=5 SA=0 SB=0 posQty=10
2025-11-18 22:32:01.634,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 10:32:01 PM , SL_B , FromEntry=LongB , State=ChangePending , Lmt=0 Stp=24672.25 , Qty=1 Filled=0 , Error=NoError "
2025-11-18 22:32:01.658,OnExecutionUpdate,0,Realtime,MNQ 12-25,Sim101,"30,11/18/2025 10:32:01 PM LongB FULL fill @ 24677.7 , SL_B init=24672.5 , dynSLTicks=21 , armed=False"
2025-11-18 22:32:01.686,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 10:32:01 PM , SL_A , FromEntry=LongA , State=Accepted , Lmt=0 Stp=24672.25 , Qty=5 Filled=0 , Error=NoError "
2025-11-18 22:32:01.707,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 10:32:01 PM , SL_B , FromEntry=LongB , State=ChangePending , Lmt=0 Stp=24672.25 , Qty=1 Filled=0 , Error=NoError "
