ts,method,bip,state,instrument,account,msg
2025-11-18 19:32:35.108,RefreshDynamicParameters,0,DataLoaded,MNQ 12-25,Sim101,2_11/17/2025 1:00:30 AM DynSizing -> TA:42 SL:21 QtyA:5 QtyB:5 (UseVol=False)
2025-11-18 19:32:36.915,ManageRunnerStopsCompact,0,Historical,MNQ 12-25,Sim101,[RunnerArm] LAopen=False LAmode=False SAopen=False SAmode=False armedLB=True armedSB=True RunnerTrailsWithA=True activeQtyA=5
2025-11-18 19:39:50.390,OnStateChange,0,Realtime,MNQ 12-25,Sim101,100_[RealtimeStart] nowUtc=2025-11-18T17:39:50.3898655Z CD_longRem=0.0s CD_shortRem=0.0s
2025-11-18 19:39:50.392,OnStateChange,0,Realtime,MNQ 12-25,Sim101,Test line at 2025-11-18T19:33:00.0000000
2025-11-18 19:39:56.441,SubmitLongAB,0,Realtime,MNQ 12-25,Sim101,16_11/18/2025 7:39:00 PM SubmitLongAB: QtyA=5 QtyB=5
2025-11-18 19:39:56.961,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"34,11/18/2025 7:39:56 PM ENTRY , LongA , Action=Buy , State=Submitted , Qty=5 Filled=0 , Avg=0 , Err=NoError "
2025-11-18 19:39:57.036,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"34,11/18/2025 7:39:56 PM ENTRY , LongB , Action=Buy , State=Submitted , Qty=5 Filled=0 , Avg=0 , Err=NoError "
2025-11-18 19:39:57.100,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"34,11/18/2025 7:39:57 PM ENTRY , LongA , Action=Buy , State=Accepted , Qty=5 Filled=0 , Avg=0 , Err=NoError "
2025-11-18 19:39:57.106,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"34,11/18/2025 7:39:57 PM ENTRY , LongA , Action=Buy , State=Working , Qty=5 Filled=0 , Avg=0 , Err=NoError "
2025-11-18 19:39:57.143,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"34,11/18/2025 7:39:57 PM ENTRY , LongA , Action=Buy , State=PartFilled , Qty=5 Filled=4 , Avg=24593.25 , Err=NoError "
2025-11-18 19:39:57.152,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"34,11/18/2025 7:39:57 PM ENTRY , LongB , Action=Buy , State=Accepted , Qty=5 Filled=0 , Avg=0 , Err=NoError "
2025-11-18 19:39:57.153,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"34,11/18/2025 7:39:57 PM ENTRY , LongB , Action=Buy , State=Working , Qty=5 Filled=0 , Avg=0 , Err=NoError "
2025-11-18 19:39:57.254,OnExecutionUpdate,0,Realtime,MNQ 12-25,Sim101,[LegQtyExec] o=LongA From= execQty=4 LA=4 LB=0 SA=0 SB=0 posQty=4
2025-11-18 19:39:57.350,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 7:39:57 PM , SL_A , FromEntry=LongA , State=Submitted , Lmt=0 Stp=24588 , Qty=4 Filled=0 , Error=NoError "
2025-11-18 19:39:57.351,ArmOrTightenStop,0,Realtime,MNQ 12-25,Sim101,[EnsureA-Fixed] LongA SL_A -> 24588
2025-11-18 19:39:57.457,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 7:39:57 PM , SL_A , FromEntry=LongA , State=Accepted , Lmt=0 Stp=24588 , Qty=4 Filled=0 , Error=NoError "
