timestamp,bar,open,high,low,close,candleType,volume,fastEma,fastEmaGradDeg,trendUpSignal,trendDownSignal,goodCount,badCount,netPnl,barPattern,currentPosition,entryBar,entryPrice,unrealizedPnL,allowLongThisBar,allowShortThisBar,gradientFilterLong,gradientFilterShort,gradientValue,gradientLongThreshold,gradientShortThreshold,pendingLongFromBad,pendingShortFromGood,actionTaken,blockReason,opportunityType
2025-12-12 01:02:00.000,0,25972.7500,25987.0000,25951.0000,25981.2500,good,5045,25981.2500,NaN,False,False,0,0,0.00,G,Flat,-1,,0.00,True,False,False,False,NaN,10.00,-10.00,False,False,NO_SIGNAL,Trend requirements not met (G:0/B:0, PnL:0.00),NONE
2025-12-12 01:04:00.000,1,25980.5000,25983.5000,25972.7500,25974.7500,bad,1524,25979.0833,NaN,False,False,0,0,0.00,GB,Flat,-1,,0.00,False,True,False,False,NaN,10.00,-10.00,False,False,NO_SIGNAL,Trend requirements not met (G:0/B:0, PnL:0.00),NONE
2025-12-12 01:06:00.000,2,25974.2500,25981.2500,25957.0000,25963.0000,bad,1750,25973.7222,-75.12,False,False,1,2,-8.50,G2B,Flat,-1,,0.00,False,True,True,False,-75.12,10.00,-10.00,False,False,NO_SIGNAL,Trend requirements not met (G:1/B:2, PnL:-8.50),NONE
2025-12-12 01:08:00.000,3,25962.2500,25963.5000,25926.0000,25941.7500,bad,3736,25963.0648,-82.88,False,True,1,3,-29.00,G3B,Flat,4,,0.00,False,True,True,False,-82.88,10.00,-10.00,False,False,ENTERED_SHORT,,TAKEN
2025-12-12 01:10:00.000,4,25941.5000,25948.7500,25933.2500,25933.2500,bad,1453,25953.1265,-84.45,False,True,1,4,-37.25,G4B,Flat,4,,0.00,False,True,True,False,-84.45,10.00,-10.00,False,False,MISSED_SHORT,Unknown - should have entered,SHORT_SIGNAL
2025-12-12 01:12:00.000,5,25933.7500,25949.0000,25933.2500,25946.5000,good,1088,25950.9177,-80.65,False,True,1,4,-33.00,4BG,Flat,4,,0.00,True,False,True,False,-80.65,10.00,-10.00,False,True,SKIPPED_SHORT,AvoidShortsOnGoodCandle,SHORT_SIGNAL
2025-12-12 01:14:00.000,6,25945.5000,25945.5000,25923.2500,25924.0000,bad,1433,25941.9451,-79.86,False,True,1,4,-48.75,3BGB,Flat,7,,0.00,False,True,True,False,-79.86,10.00,-10.00,False,False,ENTERED_SHORT,,TAKEN
2025-12-12 01:16:00.000,7,25923.7500,25924.7500,25905.2500,25909.7500,bad,2452,25931.2134,-84.20,False,True,1,4,-51.50,2BG2B,Short,7,25908.7500,-2.00,False,True,True,False,-84.20,10.00,-10.00,False,False,ALREADY_IN_POSITION,Already Short,BLOCKED
2025-12-12 01:18:00.000,8,25908.7500,25923.2500,25902.5000,25921.7500,good,1894,25928.0589,-81.80,False,True,2,3,-18.00,BG2BG,Flat,7,,0.00,True,False,True,False,-81.80,10.00,-10.00,False,True,SKIPPED_SHORT,AvoidShortsOnGoodCandle,SHORT_SIGNAL
2025-12-12 01:20:00.000,9,25920.5000,25926.5000,25915.0000,25925.5000,good,1156,25927.2060,-63.48,True,False,3,2,-4.75,G2B2G,Flat,7,,0.00,True,False,True,False,-63.48,10.00,-10.00,False,False,SKIPPED_LONG,GradientFilter (-63.48° < 10.00°),LONG_SIGNAL
2025-12-12 01:22:00.000,10,25923.7500,25933.7500,25921.2500,25928.2500,good,1473,25927.5540,-14.17,True,False,3,2,-13.00,2B3G,Flat,7,,0.00,True,False,True,False,-14.17,10.00,-10.00,False,False,SKIPPED_LONG,GradientFilter (-14.17° < 10.00°),LONG_SIGNAL
2025-12-12 01:24:00.000,11,25928.5000,25933.0000,25926.2500,25927.7500,bad,500,25927.6193,11.68,True,False,3,2,7.75,B3GB,Flat,7,,0.00,False,True,False,True,11.68,10.00,-10.00,True,False,SKIPPED_LONG,AvoidLongsOnBadCandle,LONG_SIGNAL
2025-12-12 01:26:00.000,12,25928.0000,25933.2500,25922.5000,25931.0000,good,639,25928.7462,30.80,True,False,4,1,24.75,3GBG,Flat,13,,0.00,True,False,False,True,30.80,10.00,-10.00,False,False,ENTERED_SHORT,,TAKEN
2025-12-12 01:28:00.000,13,25930.2500,25931.5000,25919.5000,25927.0000,bad,696,25928.1641,15.24,True,False,3,2,8.50,2GBGB,Long,13,25925.5000,3.00,False,True,False,True,15.24,10.00,-10.00,False,False,ALREADY_IN_POSITION,Already Long,BLOCKED
