ts,method,bip,state,instrument,account,msg
2025-11-18 22:36:46.288,RefreshDynamicParameters,0,DataLoaded,MNQ 12-25,Sim101,2_11/17/2025 1:00:30 AM DynSizing -> TA:42 SL:21 QtyA:5 QtyB:5 (UseVol=False)
2025-11-18 22:36:47.560,ManageRunnerStopsCompact,0,Historical,MNQ 12-25,Sim101,[RunnerArm] LAopen=False LAmode=False SAopen=False SAmode=False armedLB=True armedSB=True RunnerTrailsWithA=True activeQtyA=5
2025-11-18 22:42:02.328,OnStateChange,0,Realtime,MNQ 12-25,Sim101,100_[RealtimeStart] nowUtc=2025-11-18T20:42:02.3233481Z CD_longRem=0.0s CD_shortRem=0.0s
2025-11-18 22:42:02.332,OnStateChange,0,Realtime,MNQ 12-25,Sim101,Test line at 2025-11-18T22:37:00.0000000
