ts,method,bip,state,instrument,account,msg
2025-11-18 22:16:53.007,RefreshDynamicParameters,0,DataLoaded,MNQ 12-25,Sim101,2_11/18/2025 1:00:30 AM DynSizing -> TA:42 SL:21 QtyA:5 QtyB:5 (UseVol=False)
2025-11-18 22:16:54.671,ManageRunnerStopsCompact,0,Historical,MNQ 12-25,Sim101,[RunnerArm] LAopen=False LAmode=False SAopen=False SAmode=False armedLB=True armedSB=True RunnerTrailsWithA=True activeQtyA=5
2025-11-18 22:20:01.875,OnStateChange,0,Realtime,MNQ 12-25,Sim101,100_[RealtimeStart] nowUtc=2025-11-18T20:20:01.8739118Z CD_longRem=0.0s CD_shortRem=0.0s
2025-11-18 22:20:01.881,OnStateChange,0,Realtime,MNQ 12-25,Sim101,Test line at 2025-11-18T22:17:00.0000000
