ts,method,bip,state,instrument,account,msg
2025-11-18 23:38:06.421,RefreshDynamicParameters,0,DataLoaded,MNQ 12-25,Sim101,2_11/17/2025 1:00:30 AM DynSizing -> TA:42 SL:21 QtyA:5 QtyB:5 (UseVol=False)
2025-11-18 23:38:08.382,ManageRunnerStopsCompact,0,Historical,MNQ 12-25,Sim101,[RunnerArm] LAopen=False LAmode=False SAopen=False SAmode=False armedLB=True armedSB=True RunnerTrailsWithA=True activeQtyA=5
2025-11-18 23:38:21.119,RefreshDynamicParameters,0,Historical,MNQ 12-25,Sim101,2_11/17/2025 3:55:30 AM DynSizing -> TA:42 SL:5 QtyA:5 QtyB:5 (UseVol=False)
2025-11-18 23:38:21.540,RefreshDynamicParameters,0,Historical,MNQ 12-25,Sim101,2_11/17/2025 4:01:00 AM DynSizing -> TA:42 SL:10 QtyA:5 QtyB:5 (UseVol=False)
2025-11-18 23:38:21.964,RefreshDynamicParameters,0,Historical,MNQ 12-25,Sim101,2_11/17/2025 4:07:30 AM DynSizing -> TA:42 SL:15 QtyA:5 QtyB:5 (UseVol=False)
2025-11-18 23:38:22.187,RefreshDynamicParameters,0,Historical,MNQ 12-25,Sim101,2_11/17/2025 4:09:30 AM DynSizing -> TA:42 SL:20 QtyA:5 QtyB:5 (UseVol=False)
2025-11-18 23:38:22.392,RefreshDynamicParameters,0,Historical,MNQ 12-25,Sim101,2_11/17/2025 4:12:30 AM DynSizing -> TA:42 SL:25 QtyA:5 QtyB:5 (UseVol=False)
2025-11-18 23:38:22.870,RefreshDynamicParameters,0,Historical,MNQ 12-25,Sim101,2_11/17/2025 4:24:00 AM DynSizing -> TA:42 SL:30 QtyA:5 QtyB:5 (UseVol=False)
2025-11-18 23:38:23.372,RefreshDynamicParameters,0,Historical,MNQ 12-25,Sim101,2_11/17/2025 4:35:30 AM DynSizing -> TA:42 SL:35 QtyA:5 QtyB:5 (UseVol=False)
2025-11-18 23:38:26.506,RefreshDynamicParameters,0,Historical,MNQ 12-25,Sim101,2_11/17/2025 6:01:30 AM DynSizing -> TA:42 SL:30 QtyA:5 QtyB:5 (UseVol=False)
2025-11-18 23:38:27.189,RefreshDynamicParameters,0,Historical,MNQ 12-25,Sim101,2_11/17/2025 6:26:30 AM DynSizing -> TA:42 SL:25 QtyA:5 QtyB:5 (UseVol=False)
2025-11-18 23:38:27.492,RefreshDynamicParameters,0,Historical,MNQ 12-25,Sim101,2_11/17/2025 6:39:00 AM DynSizing -> TA:42 SL:20 QtyA:5 QtyB:5 (UseVol=False)
2025-11-18 23:38:28.000,RefreshDynamicParameters,0,Historical,MNQ 12-25,Sim101,2_11/17/2025 7:05:30 AM DynSizing -> TA:42 SL:15 QtyA:5 QtyB:5 (UseVol=False)
2025-11-18 23:38:28.548,RefreshDynamicParameters,0,Historical,MNQ 12-25,Sim101,2_11/17/2025 7:22:30 AM DynSizing -> TA:42 SL:10 QtyA:5 QtyB:5 (UseVol=False)
2025-11-18 23:38:30.291,RefreshDynamicParameters,0,Historical,MNQ 12-25,Sim101,2_11/17/2025 8:20:00 AM DynSizing -> TA:5 SL:10 QtyA:5 QtyB:5 (UseVol=False)
2025-11-18 23:38:30.598,RefreshDynamicParameters,0,Historical,MNQ 12-25,Sim101,2_11/17/2025 8:31:00 AM DynSizing -> TA:10 SL:10 QtyA:5 QtyB:5 (UseVol=False)
2025-11-18 23:38:30.843,RefreshDynamicParameters,0,Historical,MNQ 12-25,Sim101,2_11/17/2025 8:38:30 AM DynSizing -> TA:15 SL:10 QtyA:5 QtyB:5 (UseVol=False)
2025-11-18 23:38:31.031,RefreshDynamicParameters,0,Historical,MNQ 12-25,Sim101,2_11/17/2025 8:43:00 AM DynSizing -> TA:20 SL:10 QtyA:5 QtyB:5 (UseVol=False)
2025-11-18 23:38:31.321,RefreshDynamicParameters,0,Historical,MNQ 12-25,Sim101,2_11/17/2025 8:52:00 AM DynSizing -> TA:25 SL:10 QtyA:5 QtyB:5 (UseVol=False)
2025-11-18 23:38:32.820,RefreshDynamicParameters,0,Historical,MNQ 12-25,Sim101,2_11/17/2025 9:25:00 AM DynSizing -> TA:30 SL:10 QtyA:5 QtyB:5 (UseVol=False)
2025-11-18 23:38:38.510,RefreshDynamicParameters,0,Historical,MNQ 12-25,Sim101,2_11/17/2025 11:36:00 AM DynSizing -> TA:35 SL:10 QtyA:5 QtyB:5 (UseVol=False)
2025-11-18 23:38:38.769,RefreshDynamicParameters,0,Historical,MNQ 12-25,Sim101,2_11/17/2025 11:38:00 AM DynSizing -> TA:40 SL:10 QtyA:5 QtyB:5 (UseVol=False)
