Timestamp,Bar,Open,High,Low,Close,PNL,CandleType
2025-12-04 01:00:30,0,25649.75,25657.50,25648.75,25650.50,0.75,good
2025-12-04 01:01:00,1,25650.50,25654.00,25648.00,25650.00,-0.50,bad
2025-12-04 01:01:30,2,25650.50,25658.75,25650.50,25652.75,2.25,good
2025-12-04 01:02:00,3,25653.00,25655.75,25652.50,25653.00,0.00,good and bad
2025-12-04 01:02:30,4,25653.00,25653.25,25645.00,25646.50,-6.50,bad
2025-12-04 01:03:00,5,25646.25,25647.50,25642.50,25643.50,-2.75,bad
2025-12-04 01:03:30,6,25643.50,25644.25,25634.25,25639.50,-4.00,bad
2025-12-04 01:04:00,7,25639.50,25643.75,25637.75,25642.00,2.50,good
2025-12-04 01:04:30,8,25642.50,25645.00,25639.25,25644.00,1.50,good
2025-12-04 01:05:00,9,25643.75,25650.25,25642.75,25649.50,5.75,good
2025-12-04 01:05:30,10,25649.00,25649.75,25645.75,25649.75,0.75,good
2025-12-04 01:06:00,11,25649.00,25651.50,25647.00,25648.00,-1.00,bad
2025-12-04 01:06:30,12,25648.75,25650.00,25644.00,25645.25,-3.50,bad
2025-12-04 01:07:00,13,25645.25,25647.25,25644.25,25646.00,0.75,good
2025-12-04 01:07:30,14,25645.00,25646.25,25644.75,25645.00,0.00,good and bad
2025-12-04 01:08:00,15,25646.25,25647.00,25643.00,25643.00,-3.25,bad
2025-12-04 01:08:30,16,25642.75,25644.50,25640.00,25641.25,-1.50,bad
2025-12-04 01:09:00,17,25640.50,25644.00,25638.25,25639.75,-0.75,bad
2025-12-04 01:09:30,18,25639.75,25640.75,25638.50,25640.75,1.00,good
2025-12-04 01:10:00,19,25639.50,25642.25,25639.50,25640.50,1.00,good
2025-12-04 01:10:30,20,25640.50,25643.75,25640.25,25643.75,3.25,good
2025-12-04 01:11:00,21,25643.75,25644.00,25641.75,25642.75,-1.00,bad
2025-12-04 01:11:30,22,25642.25,25644.25,25641.25,25643.50,1.25,good
2025-12-04 01:12:00,23,25643.50,25647.50,25642.75,25646.50,3.00,good
2025-12-04 01:12:30,24,25647.00,25657.00,25646.00,25656.00,9.00,good
2025-12-04 01:13:00,25,25656.25,25656.25,25652.75,25654.25,-2.00,bad
2025-12-04 01:13:30,26,25653.75,25655.00,25644.75,25646.00,-7.75,bad
