NinjaScript File,Error,Code,Line,Column,
TelemetryClientcs.cs,The type or namespace name 'Newtonsoft' could not be found (are you missing a using directive or an assembly reference?),CS0246,8,7,
TelemetryClientcs.cs,The type or namespace name 'Newtonsoft' could not be found (are you missing a using directive or an assembly reference?),CS0246,9,7,
TelemetryClientcs.cs,The type or namespace name 'JsonSerializerSettings' could not be found (are you missing a using directive or an assembly reference?),CS0246,25,26,
TelemetryClientcs.cs,The type or namespace name 'JsonSerializerSettings' could not be found (are you missing a using directive or an assembly reference?),CS0246,40,32,
TelemetryClientcs.cs,The type or namespace name 'CamelCasePropertyNamesContractResolver' could not be found (are you missing a using directive or an assembly reference?),CS0246,42,40,
TelemetryClientcs.cs,The name 'NullValueHandling' does not exist in the current context,CS0103,43,37,
TelemetryClientcs.cs,The name 'JsonConvert' does not exist in the current context,CS0103,69,44,
TelemetryClientcs.cs,The name 'JsonConvert' does not exist in the current context,CS0103,126,36,
TelemetryClientcs.cs,The name 'JsonConvert' does not exist in the current context,CS0103,150,28,
